CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
11,800261254202200001,202200001,2022-10-21,5288,1254,4,2,6,16,1,7026,2022-10-21 00:52:00,2022-10-21 01:18:00,2022-10-21 01:59:00,13.338465,77.089287,Rioting reported in Tumakuru; registered at Tumakuru Police Station 04. Synthetic demonstration record.
12,400111104202300001,202300001,2023-08-19,5519,1104,3,2,2,6,1,7011,2023-08-19 18:40:00,2023-08-19 19:53:00,2023-08-19 20:07:00,12.870551,74.89606,Vehicle Theft reported in Dakshina Kannada; registered at Dakshina Kannada Police Station 04. Synthetic demonstration record.
13,100051041202300001,202300001,2023-03-10,5077,1041,1,2,4,11,3,7005,2023-03-08 19:50:00,2023-03-08 21:15:00,2023-03-08 21:56:00,12.95698,77.592862,Online Fraud reported in Bengaluru Urban; registered at Bengaluru Urban Police Station 01. Synthetic demonstration record.
14,100271262202300001,202300001,2023-03-14,5444,1262,1,2,2,7,1,7027,2023-03-12 03:18:00,2023-03-12 04:23:00,2023-03-12 05:12:00,13.323065,74.749579,House Theft reported in Udupi; registered at Udupi Police Station 02. Synthetic demonstration record.
15,100231224202300001,202300001,2023-03-20,5240,1224,1,1,2,4,1,7023,2023-03-19 20:49:00,2023-03-19 22:48:00,2023-03-19 23:50:00,16.237058,77.351011,Robbery reported in Raichur; registered at Raichur Police Station 04. Synthetic demonstration record.
16,300121113202300001,202300001,2023-12-13,5083,1113,2,2,3,8,2,7012,2023-12-11 23:19:00,2023-12-12 01:15:00,2023-12-12 01:46:00,14.445366,75.956671,Domestic Violence reported in Davanagere; registered at Davanagere Police Station 03. Synthetic demonstration record.
17,100201195202600001,202600001,2026-05-05,5004,1195,1,1,1,2,2,7020,2026-05-04 14:19:00,2026-05-04 16:30:00,2026-05-04 17:20:00,15.374132,76.169351,Attempt to Murder reported in Koppal; registered at Koppal Police Station 05. Synthetic demonstration record.
18,100131125202500001,202500001,2025-10-12,5379,1125,1,2,4,12,3,7013,2025-10-12 10:22:00,2025-10-12 12:56:00,2025-10-12 13:26:00,15.449403,75.022462,Identity Theft reported in Dharwad; registered at Dharwad Police Station 05. Synthetic demonstration record.
19,100291287202300001,202300001,2023-01-11,5112,1287,1,2,5,14,1,7029,2023-01-09 00:24:00,2023-01-09 01:21:00,2023-01-09 02:20:00,16.79956,75.710179,NDPS Possession reported in Vijayapura; registered at Vijayapura Police Station 07. Synthetic demonstration record.
20,100281275202600001,202600001,2026-04-10,5574,1275,1,2,4,12,2,7028,2026-04-08 11:22:00,2026-04-08 12:44:00,2026-04-08 13:06:00,14.84074,74.216552,Identity Theft reported in Uttara Kannada; registered at Uttara Kannada Police Station 05. Synthetic demonstration record.
21,100221214202300001,202300001,2023-05-24,5373,1214,1,1,1,2,2,7022,2023-05-24 03:30:00,2023-05-24 04:32:00,2023-05-24 06:02:00,12.333025,76.653545,Attempt to Murder reported in Mysuru; registered at Mysuru Police Station 04. Synthetic demonstration record.
22,100151143202500001,202500001,2025-10-30,5235,1143,1,2,6,17,2,7015,2025-10-30 01:05:00,2025-10-30 03:04:00,2025-10-30 04:10:00,12.994672,76.132414,Unlawful Assembly reported in Hassan; registered at Hassan Police Station 03. Synthetic demonstration record.
23,100141133202200001,202200001,2022-07-22,5205,1133,1,1,2,4,5,7014,2022-07-21 20:57:00,2022-07-21 22:25:00,2022-07-21 22:48:00,15.436612,75.643925,Robbery reported in Gadag; registered at Gadag Police Station 03. Synthetic demonstration record.
24,100211209202400001,202400001,2024-12-18,5016,1209,1,2,8,20,1,7021,2024-12-16 22:50:00,2024-12-17 01:50:00,2024-12-17 02:21:00,12.531972,76.885061,Hit and Run reported in Mandya; registered at Mandya Police Station 09. Synthetic demonstration record.
25,100211204202200001,202200001,2022-01-31,5318,1204,1,2,6,17,3,7021,2022-01-30 10:48:00,2022-01-30 11:35:00,2022-01-30 13:24:00,12.488181,76.902149,Unlawful Assembly reported in Mandya; registered at Mandya Police Station 04. Synthetic demonstration record.
26,100201198202500001,202500001,2025-11-20,5216,1198,1,2,1,3,1,7020,2025-11-20 14:58:00,2025-11-20 16:17:00,2025-11-20 16:50:00,15.331744,76.130264,Assault reported in Koppal; registered at Koppal Police Station 08. Synthetic demonstration record.
27,100051044202600001,202600001,2026-06-12,5468,1044,1,2,4,11,1,7005,2026-06-11 17:58:00,2026-06-11 19:03:00,2026-06-11 20:27:00,13.012337,77.613582,Online Fraud reported in Bengaluru Urban; registered at Bengaluru Urban Police Station 04. Synthetic demonstration record.
28,100301295202200001,202200001,2022-10-28,5180,1295,1,2,7,18,2,7030,2022-10-28 11:27:00,2022-10-28 13:22:00,2022-10-28 14:03:00,16.755697,77.113382,Cheating reported in Yadgir; registered at Yadgir Police Station 05. Synthetic demonstration record.
29,300161154202200001,202200001,2022-09-05,5405,1154,2,1,5,15,1,7016,2022-09-05 21:33:00,2022-09-05 23:01:00,2022-09-05 23:21:00,14.764764,75.395632,Drug Trafficking reported in Haveri; registered at Haveri Police Station 04. Synthetic demonstration record.
30,100261254202300001,202300001,2023-04-25,5288,1254,1,2,3,9,3,7026,2023-04-23 17:08:00,2023-04-23 18:50:00,2023-04-23 20:35:00,13.334191,77.113771,Sexual Harassment reported in Tumakuru; registered at Tumakuru Police Station 04. Synthetic demonstration record.
31,100121120202500001,202500001,2025-05-19,5530,1120,1,2,2,6,2,7012,2025-05-17 18:05:00,2025-05-17 19:36:00,2025-05-17 19:51:00,14.432734,75.922864,Vehicle Theft reported in Davanagere; registered at Davanagere Police Station 10. Synthetic demonstration record.
32,100271268202300001,202300001,2023-05-28,5189,1268,1,2,2,6,1,7027,2023-05-28 21:58:00,2023-05-28 23:17:00,2023-05-29 00:06:00,13.347611,74.742211,Vehicle Theft reported in Udupi; registered at Udupi Police Station 08. Synthetic demonstration record.
33,100221214202600001,202600001,2026-04-16,5373,1214,1,1,2,4,1,7022,2026-04-16 17:29:00,2026-04-16 19:31:00,2026-04-16 20:42:00,12.30896,76.59447,Robbery reported in Mysuru; registered at Mysuru Police Station 04. Synthetic demonstration record.
34,100051042202500001,202500001,2025-03-03,5300,1042,1,2,2,6,3,7005,2025-03-01 17:39:00,2025-03-01 18:31:00,2025-03-01 20:27:00,12.931851,77.593322,Vehicle Theft reported in Bengaluru Urban; registered at Bengaluru Urban Police Station 02. Synthetic demonstration record.
35,100271263202500001,202500001,2025-02-21,5210,1263,1,2,7,19,1,7027,2025-02-19 10:24:00,2025-02-19 10:40:00,2025-02-19 11:55:00,13.334113,74.730999,Forgery reported in Udupi; registered at Udupi Police Station 03. Synthetic demonstration record.
36,100291290202400001,202400001,2024-11-26,5286,1290,1,2,4,12,2,7029,2024-11-26 15:22:00,2024-11-26 17:17:00,2024-11-26 17:39:00,16.816726,75.765075,Identity Theft reported in Vijayapura; registered at Vijayapura Police Station 10. Synthetic demonstration record.
37,100051042202400001,202400001,2024-12-03,5300,1042,1,2,2,6,2,7005,2024-12-02 21:24:00,2024-12-03 00:16:00,2024-12-03 01:43:00,12.952547,77.608089,Vehicle Theft reported in Bengaluru Urban; registered at Bengaluru Urban Police Station 02. Synthetic demonstration record.
38,100291289202300001,202300001,2023-11-22,5304,1289,1,2,8,20,1,7029,2023-11-22 04:40:00,2023-11-22 07:09:00,2023-11-22 08:07:00,16.84033,75.73478,Hit and Run reported in Vijayapura; registered at Vijayapura Police Station 09. Synthetic demonstration record.
39,100201197202300001,202300001,2023-08-25,5515,1197,1,1,2,4,1,7020,2023-08-25 17:07:00,2023-08-25 18:58:00,2023-08-25 20:21:00,15.315123,76.213655,Robbery reported in Koppal; registered at Koppal Police Station 07. Synthetic demonstration record.
40,100221213202400001,202400001,2024-12-26,5007,1213,1,2,7,18,3,7022,2024-12-24 21:48:00,2024-12-25 00:37:00,2024-12-25 01:42:00,12.311561,76.634124,Cheating reported in Mysuru; registered at Mysuru Police Station 03. Synthetic demonstration record.
41,100261257202300001,202300001,2023-12-20,5185,1257,1,1,3,10,2,7026,2023-12-19 02:37:00,2023-12-19 05:00:00,2023-12-19 06:22:00,13.33027,77.11452,Kidnapping reported in Tumakuru; registered at Tumakuru Police Station 07. Synthetic demonstration record.
42,100061056202600001,202600001,2026-06-12,5549,1056,1,2,2,7,1,7006,2026-06-10 23:14:00,2026-06-11 00:04:00,2026-06-11 00:38:00,17.957763,77.478989,House Theft reported in Bidar; registered at Bidar Police Station 06. Synthetic demonstration record.
43,100231227202200001,202200001,2022-05-14,5287,1227,1,1,3,10,4,7023,2022-05-14 15:22:00,2022-05-14 16:51:00,2022-05-14 17:41:00,16.224517,77.335704,Kidnapping reported in Raichur; registered at Raichur Police Station 07. Synthetic demonstration record.
44,100011009202600001,202600001,2026-05-08,5011,1009,1,2,4,12,3,7001,2026-05-08 20:24:00,2026-05-08 21:01:00,2026-05-08 22:37:00,16.211179,75.755021,Identity Theft reported in Bagalkot; registered at Bagalkot Police Station 09. Synthetic demonstration record.
45,100091085202300001,202300001,2023-03-20,5500,1085,1,2,5,14,1,7009,2023-03-20 16:36:00,2023-03-20 19:13:00,2023-03-20 21:01:00,13.255,75.833792,NDPS Possession reported in Chikkamagaluru; registered at Chikkamagaluru Police Station 05. Synthetic demonstration record.
46,100111108202400001,202400001,2024-07-10,5555,1108,1,2,3,9,4,7011,2024-07-09 20:44:00,2024-07-09 21:30:00,2024-07-09 23:07:00,12.932793,74.873905,Sexual Harassment reported in Dakshina Kannada; registered at Dakshina Kannada Police Station 08. Synthetic demonstration record.
47,300071067202400001,202400001,2024-08-05,5529,1067,2,2,2,7,4,7007,2024-08-04 03:28:00,2024-08-04 04:03:00,2024-08-04 05:23:00,11.921089,76.933148,House Theft reported in Chamarajanagar; registered at Chamarajanagar Police Station 07. Synthetic demonstration record.
48,100031028202500001,202500001,2025-07-15,5402,1028,1,2,8,20,1,7003,2025-07-15 19:56:00,2025-07-15 21:53:00,2025-07-15 22:14:00,15.846498,74.550976,Hit and Run reported in Belagavi; registered at Belagavi Police Station 08. Synthetic demonstration record.
49,100061055202500001,202500001,2025-11-30,5536,1055,1,2,7,18,2,7006,2025-11-29 10:17:00,2025-11-29 11:30:00,2025-11-29 12:03:00,17.916682,77.533731,Cheating reported in Bidar; registered at Bidar Police Station 05. Synthetic demonstration record.
50,100261255202200001,202200001,2022-07-23,5008,1255,1,2,2,6,5,7026,2022-07-21 19:43:00,2022-07-21 20:19:00,2022-07-21 20:34:00,13.367597,77.111389,Vehicle Theft reported in Tumakuru; registered at Tumakuru Police Station 05. Synthetic demonstration record.
51,100161159202500001,202500001,2025-10-05,5333,1159,1,2,4,11,2,7016,2025-10-04 15:49:00,2025-10-04 16:57:00,2025-10-04 18:05:00,14.822888,75.428491,Online Fraud reported in Haveri; registered at Haveri Police Station 09. Synthetic demonstration record.
52,100231227202500001,202500001,2025-04-01,5158,1227,1,2,1,3,1,7023,2025-03-30 21:25:00,2025-03-30 23:16:00,2025-03-30 23:58:00,16.200485,77.380773,Assault reported in Raichur; registered at Raichur Police Station 07. Synthetic demonstration record.
53,100311302202200001,202200001,2022-12-22,5188,1302,1,2,6,16,4,7031,2022-12-22 07:22:00,2022-12-22 07:52:00,2022-12-22 08:16:00,15.36281,76.487988,Rioting reported in Vijayanagara; registered at Vijayanagara Police Station 02. Synthetic demonstration record.
54,100111101202200001,202200001,2022-04-02,5589,1101,1,2,4,11,1,7011,2022-04-02 19:50:00,2022-04-02 20:37:00,2022-04-02 21:08:00,12.944254,74.848291,Online Fraud reported in Dakshina Kannada; registered at Dakshina Kannada Police Station 01. Synthetic demonstration record.
55,800051042202500001,202500001,2025-11-08,5300,1042,4,2,4,11,3,7005,2025-11-06 16:02:00,2025-11-06 16:34:00,2025-11-06 16:57:00,12.90543,77.652985,Online Fraud reported in Bengaluru Urban; registered at Bengaluru Urban Police Station 02. Synthetic demonstration record.
56,100091089202400001,202400001,2024-11-22,5430,1089,1,2,2,6,3,7009,2024-11-21 21:35:00,2024-11-21 23:04:00,2024-11-22 00:03:00,13.29543,75.796689,Vehicle Theft reported in Chikkamagaluru; registered at Chikkamagaluru Police Station 09. Synthetic demonstration record.
57,100031021202500001,202500001,2025-11-08,5562,1021,1,1,2,4,1,7003,2025-11-06 20:56:00,2025-11-06 21:47:00,2025-11-06 23:19:00,15.857703,74.564945,Robbery reported in Belagavi; registered at Belagavi Police Station 01. Synthetic demonstration record.
58,100231229202200001,202200001,2022-06-27,5312,1229,1,2,1,3,2,7023,2022-06-27 01:03:00,2022-06-27 01:26:00,2022-06-27 02:12:00,16.207233,77.351529,Assault reported in Raichur; registered at Raichur Police Station 09. Synthetic demonstration record.
59,100041035202200001,202200001,2022-10-28,5525,1035,1,2,2,7,2,7004,2022-10-27 02:23:00,2022-10-27 04:03:00,2022-10-27 05:59:00,13.268792,77.679345,House Theft reported in Bengaluru Rural; registered at Bengaluru Rural Police Station 05. Synthetic demonstration record.
60,100141139202600001,202600001,2026-01-20,5241,1139,1,2,7,18,1,7014,2026-01-20 11:13:00,2026-01-20 13:07:00,2026-01-20 14:19:00,15.431433,75.670438,Cheating reported in Gadag; registered at Gadag Police Station 09. Synthetic demonstration record.
61,100071064202500001,202500001,2025-08-29,5146,1064,1,2,4,11,1,7007,2025-08-28 17:52:00,2025-08-28 20:33:00,2025-08-28 22:12:00,11.902526,76.946585,Online Fraud reported in Chamarajanagar; registered at Chamarajanagar Police Station 04. Synthetic demonstration record.
62,100121118202200001,202200001,2022-09-23,5035,1118,1,2,2,6,2,7012,2022-09-22 17:10:00,2022-09-22 18:46:00,2022-09-22 19:45:00,14.495572,75.93505,Vehicle Theft reported in Davanagere; registered at Davanagere Police Station 08. Synthetic demonstration record.
63,100041031202300001,202300001,2023-03-26,5169,1031,1,2,7,18,2,7004,2023-03-24 13:33:00,2023-03-24 15:21:00,2023-03-24 17:15:00,13.329544,77.666875,Cheating reported in Bengaluru Rural; registered at Bengaluru Rural Police Station 01. Synthetic demonstration record.
64,100011006202200001,202200001,2022-07-21,5366,1006,1,2,4,11,2,7001,2022-07-21 19:48:00,2022-07-21 22:08:00,2022-07-21 22:51:00,16.168445,75.69807,Online Fraud reported in Bagalkot; registered at Bagalkot Police Station 06. Synthetic demonstration record.
65,100291283202300001,202300001,2023-08-04,5534,1283,1,2,3,8,5,7029,2023-08-02 08:06:00,2023-08-02 10:25:00,2023-08-02 11:26:00,16.838256,75.741846,Domestic Violence reported in Vijayapura; registered at Vijayapura Police Station 03. Synthetic demonstration record.
66,100221217202500001,202500001,2025-01-26,5461,1217,1,2,2,7,5,7022,2025-01-24 02:06:00,2025-01-24 04:01:00,2025-01-24 04:15:00,12.280133,76.629049,House Theft reported in Mysuru; registered at Mysuru Police Station 07. Synthetic demonstration record.
67,100111101202600001,202600001,2026-04-08,5589,1101,1,2,5,14,2,7011,2026-04-06 21:50:00,2026-04-06 23:05:00,2026-04-06 23:31:00,12.974917,74.839014,NDPS Possession reported in Dakshina Kannada; registered at Dakshina Kannada Police Station 01. Synthetic demonstration record.
68,100301291202500001,202500001,2025-06-17,5279,1291,1,2,4,13,3,7030,2025-06-17 16:54:00,2025-06-17 18:51:00,2025-06-17 19:06:00,16.769595,77.190003,Cyber Stalking reported in Yadgir; registered at Yadgir Police Station 01. Synthetic demonstration record.
69,100181178202200001,202200001,2022-11-27,5593,1178,1,2,8,20,2,7018,2022-11-25 00:16:00,2022-11-25 00:40:00,2022-11-25 01:08:00,12.371856,75.843859,Hit and Run reported in Kodagu; registered at Kodagu Police Station 08. Synthetic demonstration record.
70,100161156202400001,202400001,2024-12-27,5020,1156,1,2,7,18,2,7016,2024-12-27 15:07:00,2024-12-27 16:46:00,2024-12-27 18:28:00,14.747793,75.425996,Cheating reported in Haveri; registered at Haveri Police Station 06. Synthetic demonstration record.
71,100031028202300001,202300001,2023-10-13,5006,1028,1,2,2,6,2,7003,2023-10-12 20:55:00,2023-10-12 22:14:00,2023-10-12 22:38:00,15.825755,74.541231,Vehicle Theft reported in Belagavi; registered at Belagavi Police Station 08. Synthetic demonstration record.
72,100111102202400001,202400001,2024-09-03,5290,1102,1,2,4,11,2,7011,2024-09-02 20:08:00,2024-09-02 20:23:00,2024-09-02 21:45:00,12.894384,74.925571,Online Fraud reported in Dakshina Kannada; registered at Dakshina Kannada Police Station 02. Synthetic demonstration record.
73,100061052202400001,202400001,2024-10-02,5001,1052,1,2,2,5,5,7006,2024-09-30 01:03:00,2024-09-30 02:21:00,2024-09-30 02:41:00,17.898985,77.564315,Burglary reported in Bidar; registered at Bidar Police Station 02. Synthetic demonstration record.
74,100091081202200001,202200001,2022-05-24,5403,1081,1,2,1,3,5,7009,2022-05-22 13:20:00,2022-05-22 15:36:00,2022-05-22 17:21:00,13.310212,75.752806,Assault reported in Chikkamagaluru; registered at Chikkamagaluru Police Station 01. Synthetic demonstration record.
75,100141136202400001,202400001,2024-10-18,5571,1136,1,1,3,10,1,7014,2024-10-18 15:39:00,2024-10-18 17:10:00,2024-10-18 18:09:00,15.420004,75.645085,Kidnapping reported in Gadag; registered at Gadag Police Station 06. Synthetic demonstration record.
76,400221218202300001,202300001,2023-09-06,5103,1218,3,2,3,8,5,7022,2023-09-05 16:38:00,2023-09-05 17:51:00,2023-09-05 19:18:00,12.286734,76.64796,Domestic Violence reported in Mysuru; registered at Mysuru Police Station 08. Synthetic demonstration record.
77,100011008202400001,202400001,2024-01-15,5255,1008,1,1,1,1,2,7001,2024-01-13 18:47:00,2024-01-13 21:43:00,2024-01-13 23:19:00,16.133822,75.703788,Murder reported in Bagalkot; registered at Bagalkot Police Station 08. Synthetic demonstration record.
78,100211206202400001,202400001,2024-09-15,5017,1206,1,2,4,12,1,7021,2024-09-15 14:46:00,2024-09-15 16:12:00,2024-09-15 16:31:00,12.549112,76.872362,Identity Theft reported in Mandya; registered at Mandya Police Station 06. Synthetic demonstration record.
79,100301295202400001,202400001,2024-05-22,5180,1295,1,2,2,6,3,7030,2024-05-22 21:38:00,2024-05-22 22:45:00,2024-05-23 00:42:00,16.702109,77.182215,Vehicle Theft reported in Yadgir; registered at Yadgir Police Station 05. Synthetic demonstration record.
80,100141133202400001,202400001,2024-01-07,5205,1133,1,2,2,7,1,7014,2024-01-07 02:25:00,2024-01-07 02:57:00,2024-01-07 04:43:00,15.421992,75.680811,House Theft reported in Gadag; registered at Gadag Police Station 03. Synthetic demonstration record.
81,100311303202200001,202200001,2022-01-18,5085,1303,1,2,7,18,2,7031,2022-01-16 17:59:00,2022-01-16 19:38:00,2022-01-16 20:11:00,15.372094,76.442931,Cheating reported in Vijayanagara; registered at Vijayanagara Police Station 03. Synthetic demonstration record.
82,100031024202400001,202400001,2024-09-30,5032,1024,1,2,7,18,1,7003,2024-09-29 20:42:00,2024-09-29 23:29:00,2024-09-29 23:41:00,15.866913,74.502877,Cheating reported in Belagavi; registered at Belagavi Police Station 04. Synthetic demonstration record.
83,100181177202500001,202500001,2025-12-05,5440,1177,1,2,2,7,1,7018,2025-12-03 03:38:00,2025-12-03 03:50:00,2025-12-03 05:13:00,12.349238,75.804422,House Theft reported in Kodagu; registered at Kodagu Police Station 07. Synthetic demonstration record.
84,100301293202400001,202400001,2024-10-08,5455,1293,1,1,1,1,2,7030,2024-10-07 02:12:00,2024-10-07 03:17:00,2024-10-07 05:12:00,16.745902,77.152777,Murder reported in Yadgir; registered at Yadgir Police Station 03. Synthetic demonstration record.
85,800041039202300001,202300001,2023-07-25,5151,1039,4,2,3,8,4,7004,2023-07-23 04:28:00,2023-07-23 05:50:00,2023-07-23 06:37:00,13.254146,77.698376,Domestic Violence reported in Bengaluru Rural; registered at Bengaluru Rural Police Station 09. Synthetic demonstration record.
86,100251244202500001,202500001,2025-07-13,5411,1244,1,2,4,12,1,7025,2025-07-12 18:48:00,2025-07-12 20:38:00,2025-07-12 21:26:00,13.92863,75.57514,Identity Theft reported in Shivamogga; registered at Shivamogga Police Station 04. Synthetic demonstration record.
87,100051046202400001,202400001,2024-12-27,5256,1046,1,1,2,4,2,7005,2024-12-25 21:30:00,2024-12-25 23:18:00,2024-12-26 00:39:00,12.989565,77.585854,Robbery reported in Bengaluru Urban; registered at Bengaluru Urban Police Station 06. Synthetic demonstration record.
88,100151144202300001,202300001,2023-06-29,5255,1144,1,2,4,12,3,7015,2023-06-27 19:13:00,2023-06-27 19:25:00,2023-06-27 20:05:00,12.983694,76.165502,Identity Theft reported in Hassan; registered at Hassan Police Station 04. Synthetic demonstration record.
89,100221214202200001,202200001,2022-09-07,5383,1214,1,1,2,4,4,7022,2022-09-07 18:50:00,2022-09-07 20:27:00,2022-09-07 21:18:00,12.245004,76.695378,Robbery reported in Mysuru; registered at Mysuru Police Station 04. Synthetic demonstration record.
90,400101094202300001,202300001,2023-12-02,5038,1094,3,2,2,5,5,7010,2023-12-01 01:19:00,2023-12-01 02:45:00,2023-12-01 03:28:00,14.197202,76.400861,Burglary reported in Chitradurga; registered at Chitradurga Police Station 04. Synthetic demonstration record.
91,100021012202600001,202600001,2026-06-14,5058,1012,1,2,2,5,1,7002,2026-06-13 00:39:00,2026-06-13 01:42:00,2026-06-13 02:02:00,15.163017,76.908785,Burglary reported in Ballari; registered at Ballari Police Station 02. Synthetic demonstration record.
92,100291287202200001,202200001,2022-07-10,5112,1287,1,2,2,7,2,7029,2022-07-08 00:38:00,2022-07-08 02:59:00,2022-07-08 04:55:00,16.820982,75.706141,House Theft reported in Vijayapura; registered at Vijayapura Police Station 07. Synthetic demonstration record.
93,100211205202400001,202400001,2024-06-02,5128,1205,1,2,4,12,3,7021,2024-05-31 13:22:00,2024-05-31 14:51:00,2024-05-31 16:14:00,12.49876,76.939691,Identity Theft reported in Mandya; registered at Mandya Police Station 05. Synthetic demonstration record.
94,100181176202600001,202600001,2026-02-21,5417,1176,1,2,7,18,5,7018,2026-02-20 17:39:00,2026-02-20 20:05:00,2026-02-20 22:03:00,12.381713,75.816583,Cheating reported in Kodagu; registered at Kodagu Police Station 06. Synthetic demonstration record.
95,100251245202200001,202200001,2022-12-11,5080,1245,1,2,2,7,2,7025,2022-12-09 23:15:00,2022-12-10 01:47:00,2022-12-10 02:45:00,13.904948,75.60093,House Theft reported in Shivamogga; registered at Shivamogga Police Station 05. Synthetic demonstration record.
96,100021014202300001,202300001,2023-12-03,5275,1014,1,2,3,8,4,7002,2023-12-01 04:53:00,2023-12-01 07:41:00,2023-12-01 08:49:00,15.125211,76.889748,Domestic Violence reported in Ballari; registered at Ballari Police Station 04. Synthetic demonstration record.
97,100241234202200001,202200001,2022-07-13,5328,1234,1,2,4,12,2,7024,2022-07-11 12:33:00,2022-07-11 14:28:00,2022-07-11 16:22:00,12.763834,77.227135,Identity Theft reported in Ramanagara; registered at Ramanagara Police Station 04. Synthetic demonstration record.
98,100191182202400001,202400001,2024-02-21,5584,1182,1,2,3,8,3,7019,2024-02-19 19:33:00,2024-02-19 20:05:00,2024-02-19 21:40:00,13.070314,78.124904,Domestic Violence reported in Kolar; registered at Kolar Police Station 02. Synthetic demonstration record.
99,100201199202200001,202200001,2022-06-12,5095,1199,1,2,2,5,4,7020,2022-06-12 23:22:00,2022-06-13 00:29:00,2022-06-13 01:35:00,15.372907,76.220219,Burglary reported in Koppal; registered at Koppal Police Station 09. Synthetic demonstration record.
100,100251243202200001,202200001,2022-11-27,5043,1243,1,2,3,8,1,7025,2022-11-26 12:16:00,2022-11-26 12:41:00,2022-11-26 13:54:00,13.958466,75.536429,Domestic Violence reported in Shivamogga; registered at Shivamogga Police Station 03. Synthetic demonstration record.
101,100191189202500001,202500001,2025-08-18,5451,1189,1,2,2,7,1,7019,2025-08-16 23:49:00,2025-08-17 01:30:00,2025-08-17 02:16:00,13.161489,78.112218,House Theft reported in Kolar; registered at Kolar Police Station 09. Synthetic demonstration record.
102,100261259202300001,202300001,2023-08-27,5541,1259,1,2,7,18,2,7026,2023-08-27 21:50:00,2023-08-28 00:44:00,2023-08-28 02:32:00,13.395903,77.090254,Cheating reported in Tumakuru; registered at Tumakuru Police Station 09. Synthetic demonstration record.
103,100311301202500001,202500001,2025-01-04,5386,1301,1,2,2,7,2,7031,2025-01-02 02:03:00,2025-01-02 02:31:00,2025-01-02 03:15:00,15.347481,76.452005,House Theft reported in Vijayanagara; registered at Vijayanagara Police Station 01. Synthetic demonstration record.
104,100071063202400001,202400001,2024-12-04,5322,1063,1,2,3,8,1,7007,2024-12-02 08:57:00,2024-12-02 11:57:00,2024-12-02 12:37:00,11.962461,76.939621,Domestic Violence reported in Chamarajanagar; registered at Chamarajanagar Police Station 03. Synthetic demonstration record.
