CaseMasterID,MOID,ConfidenceScore
168,4,0.83
169,5,0.84
170,4,0.79
171,9,0.87
172,4,0.88
173,7,0.9
174,6,0.75
175,8,0.74
176,3,0.78
177,10,0.85
178,3,0.91
179,8,0.78
180,6,0.83
181,6,0.84
182,6,0.82
183,8,0.95
184,6,0.76
185,3,0.88
186,10,0.73
187,4,0.91
188,1,0.77
189,4,0.74
190,8,0.79
191,6,0.86
192,3,0.76
193,4,0.86
194,7,0.76
195,8,0.9
196,10,0.81
197,9,0.88
198,4,0.91
199,4,0.74
200,5,0.77
201,2,0.93
202,4,0.81
203,4,0.8
204,9,0.82
205,4,0.79
206,2,0.95
207,2,0.92
208,4,0.77
209,1,0.73
210,4,0.76
211,7,0.79
212,9,0.8
213,6,0.75
214,6,0.87
215,9,0.83
216,1,0.8
217,1,0.95
218,1,0.73
219,6,0.85
220,6,0.73
221,6,0.8
222,4,0.79
223,8,0.92
224,1,0.75
225,4,0.87
226,5,0.85
227,9,0.94
228,1,0.88
229,9,0.91
230,3,0.83
231,4,0.89
232,6,0.84
233,8,0.73
234,9,0.9
235,4,0.79
236,1,0.74
237,3,0.75
238,10,0.92
239,3,0.76
240,6,0.95
241,4,0.89
242,9,0.93
243,10,0.81
244,7,0.88
245,5,0.96
246,8,0.76
247,6,0.8
248,3,0.79
249,10,0.83
250,5,0.8
251,9,0.87
252,6,0.88
253,6,0.94
254,5,0.83
255,10,0.77
256,9,0.92
257,6,0.95
258,9,0.9
259,8,0.83
260,7,0.84
261,1,0.81
262,9,0.93
263,7,0.81
264,6,0.85
265,8,0.78
266,4,0.79
267,6,0.83
268,6,0.74
269,3,0.94
270,9,0.91
271,6,0.97
272,7,0.82
273,8,0.96
274,9,0.85
275,4,0.88
276,6,0.78
277,9,0.88
278,9,0.75
279,8,0.96
280,8,0.91
281,9,0.89
282,3,0.86
283,6,0.75
284,5,0.87
285,4,0.78
286,4,0.77
287,4,0.77
288,7,0.83
289,9,0.74
290,9,0.9
291,10,0.87
292,4,0.95
293,4,0.93
294,1,0.81
295,3,0.9
296,7,0.91
297,1,0.89
298,9,0.86
299,9,0.78
300,3,0.74
301,7,0.84
302,6,0.73
303,9,0.82
304,8,0.89
305,9,0.73
306,9,0.86
307,3,0.78
308,9,0.89
309,7,0.84
310,9,0.72
311,6,0.76
312,3,0.75
313,9,0.88
314,8,0.96
315,4,0.81
316,8,0.97
317,7,0.82
318,6,0.97
319,5,0.83
320,3,0.93
321,3,0.88
322,9,0.73
323,10,0.95
324,10,0.97
325,5,0.79
326,6,0.94
327,1,0.79
328,9,0.76
329,6,0.78
330,6,0.8
331,6,0.88
332,4,0.78
333,4,0.93
334,8,0.95
335,4,0.94
336,9,0.97
337,9,0.84
338,3,0.75
339,10,0.96
340,6,0.81
341,4,0.93
342,4,0.82
343,8,0.82
344,3,0.87
345,6,0.96
346,8,0.82
347,9,0.87
348,4,0.84
349,9,0.83
350,7,0.9
351,4,0.84
352,3,0.75
353,4,0.9
354,7,0.9
355,6,0.86
356,5,0.88
357,8,0.95
358,3,0.77
359,4,0.88
360,4,0.74
361,9,0.84
362,6,0.87
363,9,0.91
364,4,0.75
365,3,0.78
366,10,0.75
367,6,0.77
368,6,0.8
369,10,0.89
370,10,0.92
371,8,0.8
372,10,0.78
373,6,0.79
374,6,0.96
375,8,0.9
376,9,0.85
377,10,0.73
378,9,0.91
379,8,0.73
380,4,0.84
381,6,0.88
382,6,0.82
383,4,0.96
384,2,0.92
385,5,0.72
386,1,0.74
387,9,0.91
388,9,0.84
389,8,0.76
390,4,0.84
391,4,0.84
392,6,0.9
393,3,0.79
394,9,0.86
395,9,0.75
396,9,0.91
397,7,0.85
398,9,0.89
399,7,0.96
400,9,0.92
401,5,0.9
402,1,0.74
403,9,0.84
404,5,0.86
405,3,0.72
406,4,0.77
407,9,0.93
408,9,0.73
409,4,0.83
410,4,0.9
411,9,0.73
412,9,0.8
413,7,0.93
414,6,0.86
415,8,0.85
416,6,0.95
417,5,0.75
418,4,0.95
419,7,0.76
420,4,0.96
421,6,0.78
422,6,0.91
423,2,0.86
424,9,0.79
425,9,0.89
426,4,0.96
427,3,0.77
428,2,0.81
429,5,0.73
430,9,0.91
431,3,0.76
432,6,0.95
433,9,0.82
434,10,0.79
435,1,0.95
436,4,0.83
437,7,0.81
438,9,0.93
439,9,0.96
440,4,0.92
441,6,0.86
442,10,0.94
443,6,0.85
444,9,0.76
445,8,0.73
446,3,0.74
447,8,0.74
448,3,0.82
449,4,0.87
450,9,0.73
451,10,0.96
452,1,0.74
453,6,0.9
454,9,0.85
455,6,0.91
456,4,0.73
457,3,0.88
458,9,0.76
459,10,0.76
460,5,0.73
461,4,0.8
462,9,0.94
463,7,0.97
464,10,0.76
465,6,0.91
466,10,0.97
467,9,0.95
468,9,0.78
469,4,0.9
470,9,0.94
471,10,0.94
472,9,0.94
473,6,0.82
474,5,0.83
475,9,0.82
476,9,0.84
477,7,0.92
478,6,0.86
479,2,0.95
480,9,0.87
481,9,0.78
482,8,0.92
483,9,0.96
484,4,0.79
485,5,0.81
486,4,0.78
487,3,0.76
488,6,0.92
489,6,0.78
490,2,0.94
491,9,0.78
492,3,0.74
493,6,0.83
494,7,0.89
495,9,0.75
496,1,0.8
497,8,0.83
498,7,0.77
499,3,0.78
500,6,0.94
501,9,0.79
502,6,0.91
503,9,0.93
504,9,0.97
505,6,0.85
506,9,0.73
507,4,0.96
508,7,0.95
509,10,0.79
510,4,0.85
511,2,0.81
512,6,0.96
513,7,0.79
514,2,0.76
515,4,0.94
516,9,0.92
517,4,0.94
518,6,0.85
519,4,0.79
520,8,0.93
521,7,0.94
522,6,0.91
523,1,0.86
524,9,0.96
525,6,0.73
526,3,0.76
527,4,0.89
528,10,0.86
529,9,0.91
530,4,0.89
531,6,0.82
532,9,0.95
533,1,0.74
534,7,0.82
535,6,0.8
536,3,0.93
537,10,0.73
538,5,0.88
539,3,0.75
540,8,0.75
541,10,0.94
542,2,0.96
543,8,0.74
544,2,0.91
545,4,0.96
546,3,0.94
547,6,0.79
548,1,0.84
549,6,0.88
550,6,0.9
551,1,0.86
552,9,0.92
553,4,0.95
554,8,0.77
555,3,0.84
556,4,0.72
557,6,0.76
558,4,0.87
559,6,0.75
560,3,0.9
561,10,0.8
562,9,0.84
563,4,0.8
564,10,0.73
565,9,0.76
566,8,0.88
567,6,0.88
568,9,0.8
569,7,0.84
570,6,0.87
571,3,0.77
572,9,0.79
573,6,0.87
574,8,0.79
575,9,0.76
576,6,0.96
577,6,0.9
578,5,0.72
579,3,0.85
580,6,0.91
581,3,0.94
582,1,0.89
583,4,0.84
584,5,0.75
585,6,0.74
586,4,0.83
587,6,0.83
588,9,0.75
589,8,0.91
590,7,0.84
591,7,0.88
592,6,0.89
593,9,0.77
594,1,0.77
595,6,0.88
596,6,0.94
597,3,0.88
598,3,0.79
599,5,0.79
600,6,0.91
601,9,0.79
602,6,0.95
603,2,0.78
604,8,0.9
605,3,0.79
606,6,0.91
607,8,0.92
608,1,0.72
609,6,0.8
610,6,0.75
611,6,0.79
612,9,0.8
613,7,0.9
614,6,0.9
615,8,0.76
616,6,0.73
617,4,0.84
618,6,0.97
619,8,0.87
620,6,0.96
621,7,0.77
622,8,0.74
623,9,0.81
624,1,0.96
625,8,0.85
626,4,0.93
627,8,0.91
628,3,0.84
629,3,0.75
630,4,0.88
631,9,0.84
632,7,0.78
633,7,0.77
634,2,0.96
635,9,0.88
636,3,0.73
637,6,0.79
638,3,0.83
639,6,0.9
640,9,0.94
641,4,0.82
642,3,0.96
643,3,0.96
644,8,0.9
645,7,0.9
646,9,0.91
647,4,0.79
648,2,0.75
649,4,0.94
650,9,0.95
651,3,0.9
652,6,0.72
653,4,0.78
654,9,0.97
655,9,0.85
656,9,0.87
657,6,0.85
658,6,0.73
659,9,0.75
660,3,0.87
661,1,0.75
662,8,0.91
663,7,0.78
664,3,0.91
665,4,0.88
666,5,0.86
667,9,0.76
668,8,0.73
669,3,0.78
670,6,0.78
671,1,0.95
672,4,0.97
673,4,0.93
674,7,0.85
675,4,0.83
676,3,0.94
677,4,0.95
678,4,0.95
679,3,0.8
680,1,0.86
681,9,0.96
682,7,0.77
683,7,0.76
684,6,0.92
685,4,0.96
686,8,0.76
687,8,0.96
688,7,0.85
689,3,0.84
690,6,0.92
691,4,0.95
692,9,0.75
693,6,0.83
694,6,0.9
695,6,0.86
696,8,0.83
697,9,0.73
698,3,0.89
699,6,0.73
700,7,0.8
701,6,0.84
702,6,0.77
703,9,0.73
704,7,0.72
705,1,0.93
706,9,0.85
707,3,0.91
708,9,0.86
709,2,0.75
710,7,0.79
711,9,0.79
712,4,0.96
713,2,0.78
714,4,0.75
715,6,0.94
716,6,0.83
717,6,0.82
718,4,0.76
719,9,0.88
720,9,0.78
721,7,0.94
722,4,0.9
723,7,0.9
724,10,0.78
725,6,0.92
726,4,0.78
727,8,0.74
728,4,0.75
729,10,0.73
730,5,0.87
731,7,0.9
732,7,0.91
733,3,0.93
734,7,0.84
735,9,0.92
736,3,0.74
737,7,0.93
738,6,0.9
739,7,0.9
740,6,0.8
741,10,0.85
742,7,0.87
743,1,0.84
744,3,0.78
745,4,0.75
746,4,0.85
747,9,0.76
748,1,0.86
749,6,0.96
750,3,0.76
751,3,0.88
752,7,0.91
753,2,0.77
754,10,0.74
755,5,0.89
756,6,0.94
757,4,0.89
758,9,0.79
759,9,0.92
760,6,0.9
761,5,0.72
762,3,0.87
763,9,0.9
764,3,0.88
765,1,0.81
766,3,0.96
767,6,0.89
768,9,0.82
769,9,0.8
770,4,0.84
771,1,0.93
772,3,0.86
773,4,0.74
774,7,0.97
775,1,0.86
776,3,0.75
777,10,0.72
778,9,0.72
779,1,0.76
780,9,0.8
781,7,0.83
782,4,0.79
783,9,0.85
784,4,0.84
785,4,0.91
786,8,0.82
787,6,0.9
788,3,0.83
789,7,0.95
790,2,0.88
791,6,0.92
792,3,0.83
793,9,0.76
794,10,0.92
795,1,0.87
796,9,0.82
797,5,0.97
798,3,0.92
799,4,0.77
800,4,0.9
801,9,0.97
802,6,0.82
803,4,0.75
804,5,0.87
805,4,0.82
806,6,0.73
807,6,0.76
808,3,0.92
809,8,0.79
810,4,0.83
811,6,0.94
812,9,0.97
813,9,0.83
814,7,0.85
815,6,0.8
816,6,0.88
817,3,0.81
818,3,0.95
819,6,0.92
820,10,0.89
821,8,0.74
822,5,0.86
823,9,0.79
824,6,0.94
825,3,0.83
826,4,0.91
827,9,0.78
828,6,0.86
829,3,0.86
830,9,0.91
831,8,0.89
832,8,0.88
833,1,0.91
834,8,0.96
835,7,0.97
836,9,0.85
837,4,0.87
838,6,0.82
839,4,0.74
840,6,0.85
841,5,0.96
842,4,0.75
843,8,0.82
844,7,0.95
845,2,0.73
846,8,0.95
847,6,0.78
848,1,0.75
849,4,0.87
850,6,0.74
851,7,0.97
852,4,0.82
853,5,0.87
854,3,0.85
855,10,0.73
856,3,0.87
857,4,0.77
858,6,0.95
859,10,0.76
860,9,0.93
861,3,0.86
862,4,0.78
863,9,0.77
864,9,0.76
865,4,0.95
866,9,0.96
867,9,0.91
868,7,0.89
869,4,0.9
870,1,0.85
871,6,0.79
872,9,0.88
873,6,0.88
874,5,0.78
875,1,0.79
876,4,0.82
877,9,0.78
878,1,0.95
879,2,0.95
880,1,0.74
881,4,0.84
882,6,0.95
883,4,0.85
884,4,0.79
885,9,0.73
886,4,0.75
887,1,0.92
888,9,0.77
889,9,0.86
890,9,0.76
891,9,0.96
892,8,0.82
893,9,0.82
894,3,0.85
895,4,0.8
896,7,0.92
897,1,0.77
898,6,0.96
899,8,0.77
900,4,0.72
901,2,0.97
902,4,0.89
903,8,0.79
904,9,0.8
905,3,0.75
906,6,0.78
907,7,0.88
908,5,0.92
909,3,0.92
910,3,0.85
911,8,0.87
912,5,0.94
913,6,0.84
914,9,0.92
915,9,0.78
916,6,0.86
917,9,0.86
918,4,0.84
919,9,0.81
920,6,0.79
921,6,0.92
922,3,0.84
923,3,0.91
924,6,0.93
925,6,0.77
926,4,0.77
927,9,0.89
928,4,0.92
929,6,0.85
930,9,0.95
931,3,0.94
932,4,0.75
933,4,0.86
934,10,0.79
935,6,0.97
936,9,0.91
937,4,0.88
938,10,0.9
939,8,0.88
940,4,0.95
941,5,0.78
942,10,0.87
943,8,0.81
944,3,0.83
945,1,0.85
946,3,0.86
947,8,0.95
948,10,0.83
949,9,0.83
950,9,0.73
951,3,0.95
952,9,0.76
953,10,0.77
954,6,0.76
955,10,0.86
956,8,0.92
957,3,0.81
958,4,0.86
959,6,0.97
960,6,0.9
961,6,0.93
962,3,0.73
963,9,0.93
964,5,0.94
965,3,0.86
966,6,0.78
967,8,0.89
968,4,0.95
969,4,0.86
970,6,0.73
971,7,0.89
972,10,0.73
973,4,0.92
974,6,0.73
975,3,0.78
976,9,0.96
977,2,0.86
978,4,0.83
979,9,0.91
980,3,0.9
981,7,0.74
982,6,0.75
983,8,0.82
984,1,0.81
985,4,0.93
986,5,0.91
987,6,0.76
988,9,0.78
989,3,0.92
990,3,0.83
991,1,0.85
992,9,0.92
993,9,0.93
994,9,0.94
995,4,0.79
996,7,0.92
997,6,0.95
998,7,0.96
999,10,0.78
1000,6,0.92
1001,3,0.81
1002,1,0.8
1003,3,0.79
1004,7,0.92
1005,10,0.84
1006,1,0.79
1007,1,0.81
1008,4,0.8
1009,6,0.96
1010,6,0.85
1011,9,0.72
1012,4,0.88
1013,5,0.85
1014,4,0.92
1015,8,0.88
1016,3,0.79
1017,6,0.93
1018,4,0.93
1019,6,0.95
1020,9,0.91
1021,9,0.93
1022,7,0.89
1023,4,0.77
1024,6,0.96
1025,6,0.82
1026,6,0.81
1027,6,0.81
1028,9,0.82
1029,5,0.74
1030,4,0.8
1031,6,0.81
1032,9,0.86
1033,4,0.8
1034,1,0.86
1035,4,0.86
1036,3,0.92
1037,8,0.86
1038,10,0.92
1039,6,0.72
1040,8,0.77
1041,6,0.91
1042,10,0.79
1043,7,0.97
1044,5,0.73
1045,10,0.8
1046,6,0.95
1047,9,0.91
1048,10,0.86
1049,8,0.77
1050,4,0.95
1051,1,0.86
1052,4,0.83
1053,6,0.94
1054,3,0.85
1055,9,0.96
1056,9,0.88
1057,9,0.78
1058,3,0.72
1059,5,0.72
1060,9,0.82
1061,6,0.72
1062,10,0.75
1063,3,0.96
1064,8,0.8
1065,4,0.77
1066,7,0.81
1067,3,0.91
1068,9,0.75
1069,9,0.89
1070,9,0.92
1071,1,0.89
1072,9,0.74
1073,1,0.78
1074,8,0.81
1075,4,0.95
1076,7,0.75
1077,3,0.72
1078,10,0.88
1079,10,0.8
1080,7,0.82
1081,8,0.97
1082,1,0.75
1083,9,0.85
1084,3,0.77
1085,7,0.74
1086,8,0.82
1087,9,0.81
1088,8,0.9
1089,9,0.83
1090,6,0.85
1091,6,0.81
1092,9,0.96
1093,4,0.76
1094,4,0.95
1095,2,0.83
1096,9,0.91
1097,8,0.75
1098,9,0.78
1099,6,0.76
1100,5,0.75
1101,9,0.8
1102,4,0.94
1103,4,0.92
1104,3,0.86
1105,4,0.91
1106,5,0.91
1107,3,0.83
1108,7,0.76
1109,4,0.92
1110,9,0.89
1111,9,0.92
1112,2,0.78
1113,7,0.89
1114,3,0.82
1115,3,0.79
1116,6,0.75
1117,9,0.74
1118,2,0.95
1119,8,0.86
1120,9,0.83
1121,3,0.76
1122,5,0.78
1123,6,0.84
1124,7,0.84
1125,3,0.88
1126,10,0.75
1127,9,0.94
1128,9,0.8
1129,1,0.86
1130,10,0.79
1131,5,0.74
1132,2,0.8
1133,9,0.73
1134,4,0.87
1135,4,0.8
1136,6,0.84
1137,9,0.8
1138,6,0.79
1139,9,0.79
1140,4,0.84
1141,1,0.78
1142,9,0.79
1143,9,0.78
1144,4,0.77
1145,9,0.84
1146,4,0.83
1147,1,0.84
1148,4,0.9
1149,4,0.75
1150,6,0.88
1151,7,0.95
1152,3,0.87
1153,3,0.76
1154,3,0.75
1155,10,0.96
1156,9,0.85
1157,10,0.91
1158,3,0.77
1159,5,0.76
1160,6,0.81
1161,9,0.81
1162,6,0.73
1163,6,0.92
1164,9,0.85
1165,9,0.87
1166,3,0.8
1167,6,0.87
1168,6,0.93
1169,6,0.96
1170,3,0.79
1171,3,0.9
1172,6,0.95
1173,7,0.86
1174,3,0.91
1175,1,0.82
1176,3,0.74
1177,3,0.87
1178,1,0.87
1179,9,0.92
1180,1,0.77
1181,4,0.92
1182,6,0.74
1183,7,0.85
1184,5,0.91
1185,2,0.9
1186,7,0.94
1187,9,0.87
1188,10,0.9
1189,6,0.82
1190,8,0.87
1191,3,0.96
1192,3,0.9
1193,7,0.75
1194,10,0.85
1195,10,0.85
1196,7,0.89
1197,6,0.74
1198,6,0.84
1199,9,0.77
1200,8,0.78
1201,3,0.94
1202,6,0.73
1203,8,0.87
1204,10,0.9
1205,3,0.96
1206,1,0.83
1207,8,0.91
1208,6,0.77
1209,6,0.87
1210,3,0.74
1211,1,0.85
1212,5,0.86
1213,2,0.74
1214,8,0.96
1215,9,0.92
1216,2,0.92
1217,6,0.97
1218,9,0.83
1219,1,0.76
1220,3,0.83
1221,1,0.76
1222,9,0.76
1223,6,0.94
1224,9,0.92
1225,4,0.86
1226,8,0.96
1227,9,0.89
1228,4,0.76
1229,9,0.92
1230,9,0.82
1231,4,0.89
1232,9,0.96
1233,7,0.74
1234,2,0.82
1235,3,0.94
1236,7,0.97
1237,1,0.84
1238,9,0.88
1239,3,0.86
1240,8,0.92
1241,4,0.9
1242,1,0.73
1243,5,0.88
1244,6,0.96
1245,7,0.96
1246,6,0.92
1247,4,0.92
1248,4,0.77
1249,1,0.93
1250,10,0.93
1251,6,0.78
1252,1,0.73
1253,7,0.72
1254,8,0.83
1255,8,0.91
1256,6,0.81
1257,7,0.88
1258,9,0.81
1259,10,0.83
1260,6,0.9
1261,9,0.95
1262,9,0.91
1263,8,0.74
1264,10,0.74
1265,5,0.84
1266,6,0.8
1267,8,0.85
1268,6,0.93
1269,9,0.74
1270,1,0.78
1271,10,0.82
1272,6,0.79
1273,6,0.83
1274,9,0.75
1275,9,0.82
1276,8,0.79
1277,7,0.79
1278,1,0.75
1279,9,0.8
1280,6,0.96
1281,9,0.82
1282,7,0.73
1283,9,0.77
1284,1,0.78
1285,4,0.78
1286,4,0.78
1287,1,0.73
1288,1,0.89
1289,6,0.8
1290,6,0.9
1291,4,0.78
1292,7,0.94
1293,7,0.91
1294,3,0.91
1295,6,0.8
1296,2,0.86
1297,6,0.94
1298,8,0.97
1299,9,0.95
1300,7,0.78
1301,4,0.94
1302,6,0.86
1303,3,0.92
1304,4,0.87
1305,9,0.8
1306,4,0.86
1307,9,0.95
1308,9,0.93
1309,4,0.85
1310,9,0.81
1311,6,0.92
1312,8,0.87
1313,3,0.73
1314,3,0.82
1315,10,0.93
1316,6,0.79
1317,2,0.91
1318,4,0.8
1319,2,0.81
1320,10,0.88
1321,9,0.87
1322,10,0.88
1323,7,0.92
1324,6,0.86
1325,6,0.73
1326,4,0.72
1327,9,0.75
1328,6,0.95
1329,10,0.83
1330,6,0.89
1331,3,0.83
1332,9,0.78
1333,5,0.84
1334,3,0.75
1335,9,0.89
1336,7,0.79
1337,4,0.88
1338,4,0.73
1339,6,0.81
1340,3,0.83
1341,1,0.86
1342,6,0.92
1343,3,0.85
1344,3,0.86
1345,6,0.77
1346,8,0.83
1347,10,0.9
1348,9,0.91
1349,8,0.81
1350,3,0.87
1351,9,0.95
1352,7,0.76
1353,8,0.75
1354,5,0.74
1355,6,0.9
1356,2,0.83
1357,3,0.92
1358,10,0.91
1359,7,0.93
1360,8,0.95
1361,6,0.91
1362,6,0.91
1363,6,0.83
1364,9,0.86
1365,8,0.72
1366,4,0.94
1367,9,0.85
1368,6,0.94
1369,7,0.78
1370,9,0.78
1371,9,0.94
1372,1,0.85
1373,9,0.81
1374,6,0.93
1375,3,0.77
1376,9,0.94
1377,8,0.79
1378,6,0.85
1379,6,0.94
1380,7,0.84
1381,6,0.74
1382,4,0.9
1383,9,0.81
1384,6,0.78
1385,3,0.97
1386,5,0.96
1387,3,0.91
1388,2,0.82
1389,6,0.96
1390,6,0.78
1391,4,0.92
1392,7,0.73
1393,1,0.86
1394,8,0.8
1395,4,0.93
1396,3,0.75
1397,6,0.78
1398,8,0.91
1399,8,0.73
1400,1,0.9
1401,4,0.94
1402,9,0.85
1403,1,0.88
1404,7,0.76
1405,4,0.89
1406,3,0.83
1407,4,0.89
1408,3,0.77
1409,6,0.91
1410,2,0.91
1411,4,0.79
1412,6,0.9
1413,10,0.9
1414,6,0.87
1415,4,0.84
1416,9,0.77
1417,10,0.92
1418,7,0.96
1419,8,0.82
1420,10,0.79
1421,1,0.93
1422,6,0.86
1423,9,0.96
1424,1,0.96
1425,9,0.96
1426,4,0.72
1427,8,0.94
1428,3,0.76
1429,3,0.86
1430,6,0.88
1431,10,0.82
1432,6,0.95
1433,6,0.96
1434,7,0.73
1435,9,0.75
1436,6,0.81
1437,6,0.93
1438,4,0.93
1439,4,0.95
1440,6,0.92
1441,7,0.92
1442,1,0.87
1443,6,0.82
1444,6,0.75
1445,6,0.79
1446,3,0.89
1447,9,0.88
1448,3,0.74
1449,3,0.9
1450,10,0.91
1451,6,0.86
1452,9,0.83
1453,8,0.9
1454,8,0.79
1455,1,0.85
1456,6,0.87
1457,2,0.93
1458,4,0.91
1459,6,0.92
1460,6,0.76
1461,8,0.86
1462,6,0.83
1463,4,0.93
1464,3,0.86
1465,3,0.77
1466,6,0.93
1467,1,0.94
1468,4,0.91
1469,4,0.78
1470,9,0.86
1471,10,0.88
1472,4,0.82
1473,10,0.75
1474,6,0.86
1475,1,0.79
1476,10,0.93
1477,1,0.8
1478,8,0.9
1479,4,0.87
1480,6,0.97
1481,7,0.97
1482,4,0.82
1483,3,0.83
1484,9,0.73
1485,7,0.78
1486,9,0.8
1487,4,0.84
1488,6,0.74
1489,6,0.89
1490,7,0.82
1491,10,0.76
1492,6,0.94
1493,4,0.93
1494,2,0.93
1495,3,0.75
1496,9,0.9
1497,6,0.73
1498,4,0.89
1499,4,0.96
1500,6,0.77
1501,4,0.88
1502,8,0.72
1503,10,0.96
1504,6,0.87
1505,4,0.94
1506,3,0.8
1507,6,0.95
1508,7,0.82
1509,9,0.91
1510,10,0.76
1511,3,0.81
1512,4,0.75
1513,8,0.9
1514,6,0.87
1515,4,0.97
1516,9,0.76
1517,9,0.76
1518,1,0.94
1519,3,0.85
1520,4,0.89
1521,3,0.87
1522,4,0.73
1523,10,0.88
1524,1,0.9
1525,10,0.78
1526,8,0.96
1527,9,0.75
1528,6,0.72
1529,4,0.88
1530,3,0.82
1531,4,0.95
1532,3,0.87
1533,2,0.82
1534,8,0.89
1535,9,0.95
1536,1,0.87
1537,4,0.84
1538,9,0.89
1539,4,0.83
1540,8,0.77
1541,8,0.81
1542,9,0.85
1543,7,0.75
1544,1,0.77
1545,8,0.94
1546,1,0.78
1547,6,0.83
1548,6,0.82
1549,4,0.76
1550,6,0.89
1551,8,0.72
1552,7,0.91
1553,8,0.84
1554,9,0.84
1555,6,0.84
1556,10,0.88
1557,6,0.97
1558,1,0.88
1559,6,0.9
1560,8,0.92
1561,7,0.86
1562,6,0.77
1563,9,0.96
1564,6,0.77
1565,5,0.85
1566,6,0.95
1567,10,0.84
1568,9,0.75
1569,8,0.8
1570,4,0.81
1571,6,0.77
1572,6,0.83
1573,4,0.74
1574,9,0.81
1575,6,0.79
1576,3,0.73
1577,9,0.95
1578,1,0.78
1579,6,0.97
1580,4,0.77
1581,6,0.86
1582,8,0.72
1583,9,0.8
1584,9,0.77
1585,3,0.75
1586,9,0.83
1587,1,0.73
1588,4,0.84
1589,9,0.74
1590,4,0.87
1591,8,0.82
1592,6,0.96
1593,6,0.91
1594,1,0.8
1595,1,0.84
1596,6,0.9
1597,2,0.95
1598,2,0.95
1599,1,0.8
1600,8,0.73
1601,10,0.83
1602,10,0.87
1603,9,0.88
1604,2,0.94
1605,9,0.9
1606,2,0.82
1607,6,0.79
1608,4,0.89
1609,6,0.81
1610,6,0.77
1611,3,0.83
1612,5,0.95
1613,3,0.9
1614,8,0.77
1615,8,0.95
1616,8,0.74
1617,9,0.8
1618,9,0.97
1619,1,0.78
1620,7,0.81
1621,4,0.97
1622,4,0.78
1623,10,0.75
1624,8,0.94
1625,9,0.82
1626,6,0.83
1627,1,0.75
1628,7,0.77
1629,5,0.77
1630,1,0.84
1631,3,0.94
1632,6,0.96
1633,6,0.92
1634,6,0.76
1635,3,0.81
1636,1,0.77
1637,7,0.88
1638,6,0.96
1639,9,0.74
1640,4,0.86
1641,1,0.92
1642,6,0.87
1643,5,0.76
1644,7,0.8
1645,7,0.93
1646,6,0.96
1647,5,0.9
1648,10,0.94
1649,9,0.92
1650,10,0.83
1651,3,0.79
1652,4,0.83
1653,4,0.88
1654,7,0.86
1655,6,0.87
1656,2,0.81
1657,3,0.75
1658,3,0.81
1659,3,0.83
1660,3,0.86
1661,7,0.96
