CSID,CaseMasterID,csdate,cstype,PolicePersonID
100,194,2022-07-16 23:21:00,A,5393
101,195,2022-12-19 06:31:00,A,5486
102,196,2023-05-17 00:06:00,B,5083
103,199,2023-03-17 08:42:00,A,5245
104,200,2023-04-03 03:59:00,A,5504
105,201,2027-01-23 01:29:00,C,5284
106,204,2026-09-13 21:40:00,A,5195
107,208,2026-02-01 02:55:00,A,5409
108,209,2022-07-09 13:41:00,A,5100
109,210,2023-05-16 10:24:00,A,5256
110,219,2022-11-17 22:13:00,C,5124
111,222,2026-09-03 03:10:00,A,5488
112,223,2026-02-12 23:08:00,A,5066
113,224,2025-09-09 15:06:00,A,5465
114,225,2025-07-25 05:17:00,A,5516
115,226,2023-12-05 13:45:00,C,5210
116,227,2022-12-16 15:32:00,A,5307
117,228,2026-07-20 16:05:00,B,5545
118,231,2026-04-11 17:03:00,B,5464
119,234,2026-04-04 09:49:00,A,5409
120,237,2023-09-29 03:47:00,A,5224
121,238,2022-04-22 16:48:00,A,5066
122,240,2026-08-24 22:27:00,A,5567
123,241,2022-06-12 08:19:00,C,5434
124,242,2022-11-11 14:35:00,C,5440
125,243,2026-10-02 00:26:00,A,5475
126,244,2024-04-11 12:41:00,A,5204
127,246,2023-12-16 02:51:00,A,5515
128,249,2022-08-08 00:40:00,C,5106
129,250,2024-10-14 21:01:00,A,5583
130,251,2023-06-02 13:18:00,A,5185
131,253,2024-01-08 10:23:00,A,5031
132,255,2024-03-19 03:18:00,A,5465
133,256,2026-10-06 01:14:00,C,5301
134,257,2025-06-20 11:06:00,B,5356
135,260,2025-01-25 14:08:00,C,5506
136,261,2023-01-08 07:32:00,A,5565
137,262,2026-02-01 14:54:00,A,5424
138,263,2025-02-19 10:33:00,A,5392
139,264,2025-05-16 21:32:00,A,5081
140,266,2023-05-16 18:49:00,A,5416
141,268,2025-10-15 03:15:00,A,5133
142,270,2022-08-07 22:42:00,A,5282
143,273,2024-04-02 05:00:00,A,5514
144,276,2023-06-21 23:13:00,A,5344
145,277,2026-04-09 22:59:00,A,5536
146,278,2022-09-11 17:46:00,A,5153
147,280,2026-03-27 21:58:00,A,5582
148,284,2024-03-05 22:55:00,B,5332
149,286,2023-03-22 13:13:00,A,5085
150,287,2025-01-14 16:11:00,A,5438
151,288,2024-05-18 07:07:00,A,5455
152,289,2023-04-30 01:09:00,C,5276
153,290,2023-11-21 22:11:00,A,5132
154,292,2024-12-19 23:43:00,A,5291
155,295,2026-01-17 14:37:00,A,5186
156,297,2024-06-12 09:49:00,A,5275
157,298,2025-07-18 21:47:00,A,5591
158,299,2026-12-10 01:03:00,A,5327
159,300,2026-03-19 10:40:00,A,5412
160,303,2025-10-19 19:50:00,B,5059
161,306,2023-01-08 06:47:00,A,5330
162,308,2023-11-24 17:37:00,A,5077
163,311,2023-03-01 15:53:00,A,5259
164,312,2024-09-07 22:19:00,A,5561
165,313,2025-04-23 07:38:00,A,5563
166,314,2023-12-03 01:32:00,A,5513
167,315,2023-10-23 14:13:00,A,5240
168,316,2023-09-24 18:21:00,A,5083
169,317,2025-06-12 16:48:00,A,5299
170,319,2024-10-21 20:53:00,C,5411
171,321,2025-12-29 15:32:00,A,5361
172,322,2024-03-31 06:03:00,B,5342
173,323,2025-07-06 17:28:00,A,5210
174,326,2023-01-03 23:44:00,A,5011
175,328,2026-01-27 17:43:00,A,5127
176,329,2023-01-31 04:34:00,A,5513
177,330,2025-10-30 20:15:00,A,5487
178,331,2023-07-12 17:44:00,C,5536
179,332,2026-10-03 05:42:00,A,5411
180,337,2026-03-29 05:06:00,A,5374
181,339,2025-01-06 21:38:00,A,5186
182,340,2024-07-19 18:24:00,A,5129
183,343,2026-07-18 10:27:00,A,5294
184,344,2023-07-20 02:27:00,A,5535
185,345,2025-10-13 02:19:00,A,5218
186,346,2026-01-15 17:39:00,A,5246
187,347,2023-07-16 21:09:00,A,5117
188,348,2025-11-29 18:39:00,A,5347
189,356,2023-06-24 11:37:00,A,5411
190,358,2023-10-20 11:33:00,A,5337
191,359,2025-05-29 14:48:00,A,5035
192,360,2025-12-14 02:59:00,B,5519
193,362,2022-11-06 04:32:00,A,5299
194,363,2024-05-09 22:22:00,A,5285
195,365,2022-07-24 09:28:00,A,5071
196,368,2022-09-07 11:48:00,A,5077
197,369,2022-12-25 10:12:00,A,5006
198,371,2024-03-25 13:35:00,A,5025
199,375,2026-05-09 12:07:00,A,5533
200,376,2023-10-14 05:13:00,B,5300
201,377,2026-06-20 21:02:00,A,5541
202,379,2026-11-01 03:05:00,A,5077
203,380,2023-01-28 19:26:00,A,5282
204,381,2024-10-12 02:22:00,A,5032
205,382,2024-10-04 10:12:00,B,5342
206,385,2024-05-26 03:20:00,C,5346
207,386,2026-03-14 20:31:00,A,5121
208,388,2026-06-21 09:25:00,A,5251
209,390,2022-11-18 03:06:00,C,5260
210,391,2024-04-07 06:55:00,A,5372
211,392,2023-07-02 10:49:00,A,5054
212,393,2026-06-18 12:51:00,A,5471
213,394,2025-03-13 09:59:00,B,5133
214,401,2025-05-01 16:58:00,C,5041
215,402,2026-03-16 02:59:00,A,5543
216,403,2025-02-08 23:57:00,A,5513
217,404,2022-12-23 16:49:00,A,5094
218,406,2024-11-26 18:53:00,A,5545
219,407,2022-10-19 00:04:00,A,5195
220,408,2023-07-17 09:47:00,A,5167
221,409,2026-09-15 09:22:00,A,5419
222,410,2023-02-03 14:41:00,A,5229
223,411,2024-12-22 19:59:00,A,5127
224,412,2022-07-04 23:45:00,A,5397
225,416,2023-09-13 23:50:00,A,5285
226,417,2025-10-12 05:05:00,A,5561
227,418,2025-02-18 16:34:00,A,5591
228,419,2023-08-31 13:45:00,A,5280
229,420,2024-12-15 22:21:00,A,5470
230,423,2026-04-02 23:04:00,A,5321
231,424,2026-06-27 03:28:00,A,5527
232,425,2022-12-23 03:24:00,A,5589
233,426,2025-05-16 00:19:00,A,5031
234,427,2023-05-25 06:03:00,A,5509
235,428,2024-06-09 03:26:00,A,5236
236,431,2022-04-18 11:38:00,A,5151
237,433,2022-09-29 14:19:00,A,5172
238,434,2025-09-08 20:08:00,A,5419
239,438,2024-04-26 11:49:00,A,5583
240,439,2025-07-26 14:52:00,A,5516
241,442,2024-10-16 00:51:00,B,5422
242,443,2025-06-07 13:22:00,A,5528
243,444,2024-03-09 19:34:00,A,5408
244,447,2025-01-07 13:51:00,A,5227
245,449,2026-01-18 16:18:00,A,5419
246,450,2023-02-06 18:50:00,A,5032
247,452,2025-05-01 09:54:00,B,5234
248,453,2024-01-25 17:52:00,A,5499
249,454,2024-06-26 21:40:00,A,5009
250,455,2022-04-08 18:17:00,A,5541
251,456,2026-10-30 08:01:00,A,5154
252,457,2024-09-17 18:48:00,C,5245
253,458,2026-03-11 02:22:00,B,5541
254,461,2023-12-08 10:13:00,A,5487
255,462,2025-02-27 05:01:00,A,5133
256,464,2025-09-10 07:04:00,A,5488
257,466,2022-09-10 18:34:00,A,5459
258,470,2022-10-20 15:47:00,A,5140
259,472,2025-07-22 12:09:00,A,5566
260,473,2026-06-22 18:12:00,B,5087
261,475,2023-09-03 02:42:00,A,5237
262,476,2023-09-14 05:41:00,A,5215
263,477,2026-09-24 03:17:00,A,5245
264,479,2026-07-17 16:06:00,A,5399
265,480,2023-04-01 06:44:00,B,5285
266,481,2024-04-29 06:10:00,B,5194
267,484,2023-03-16 22:53:00,A,5219
268,485,2024-09-15 22:28:00,B,5247
269,488,2025-07-23 23:52:00,A,5198
270,492,2022-08-08 11:23:00,A,5306
271,494,2026-12-19 09:37:00,A,5132
272,495,2023-02-03 07:35:00,A,5260
273,498,2025-06-14 04:28:00,A,5191
274,499,2026-07-15 16:23:00,A,5082
275,500,2023-01-04 18:39:00,A,5176
276,503,2024-09-23 03:13:00,A,5419
277,507,2025-11-17 19:26:00,A,5473
278,508,2024-10-04 06:49:00,A,5459
279,509,2023-06-17 15:36:00,A,5420
280,510,2026-10-13 08:45:00,A,5285
281,513,2026-09-04 02:58:00,C,5180
282,514,2024-11-22 11:41:00,A,5507
283,518,2025-02-01 04:09:00,C,5588
284,521,2022-07-28 07:49:00,A,5474
285,522,2023-06-28 15:05:00,A,5130
286,524,2024-03-19 14:56:00,A,5576
287,525,2022-11-13 22:49:00,A,5054
288,526,2023-04-27 17:47:00,A,5171
289,528,2023-01-13 12:51:00,A,5362
290,529,2026-06-06 16:27:00,A,5581
291,531,2025-07-14 23:55:00,A,5133
292,532,2023-10-03 03:09:00,A,5300
293,536,2023-11-05 21:20:00,A,5567
294,539,2024-07-01 00:48:00,C,5358
295,542,2024-09-02 23:13:00,A,5252
296,545,2025-03-24 21:56:00,C,5125
297,546,2023-09-10 13:18:00,A,5189
298,548,2022-10-04 02:03:00,C,5153
299,549,2026-07-04 08:11:00,A,5352
300,550,2023-04-25 22:07:00,A,5595
301,556,2023-08-12 13:36:00,A,5336
302,557,2024-01-16 18:51:00,A,5178
303,558,2026-04-14 06:28:00,C,5085
304,559,2023-11-13 18:11:00,A,5081
305,560,2024-10-05 15:45:00,A,5163
306,561,2023-01-15 08:48:00,A,5539
307,567,2025-03-04 01:49:00,A,5265
308,568,2024-03-05 04:59:00,B,5485
309,571,2026-04-22 20:33:00,A,5525
310,573,2022-05-31 00:18:00,A,5479
311,574,2025-11-04 18:40:00,A,5527
312,576,2023-02-11 05:42:00,A,5525
313,578,2026-09-18 01:38:00,A,5129
314,579,2026-09-13 14:19:00,A,5254
315,581,2025-09-25 13:19:00,A,5584
316,582,2026-08-23 12:11:00,A,5358
317,583,2023-06-26 14:42:00,A,5119
318,584,2023-10-11 07:10:00,C,5180
319,586,2026-11-19 11:16:00,A,5343
320,587,2025-09-15 01:27:00,A,5058
321,588,2026-09-27 17:47:00,A,5444
322,590,2023-04-12 08:47:00,A,5520
323,591,2023-09-17 21:46:00,B,5385
324,593,2024-07-20 12:19:00,A,5406
325,594,2023-10-07 13:16:00,A,5444
326,596,2022-09-16 05:53:00,B,5252
327,597,2026-11-08 08:40:00,A,5399
328,599,2025-06-25 15:59:00,A,5319
329,600,2023-01-06 22:04:00,B,5308
330,603,2025-04-06 06:00:00,A,5169
331,604,2026-02-10 13:34:00,A,5402
332,607,2025-06-01 23:43:00,B,5324
333,609,2023-06-21 17:43:00,A,5397
334,610,2024-02-02 13:45:00,A,5093
335,611,2025-05-08 17:01:00,A,5540
336,612,2023-04-12 14:11:00,A,5285
337,613,2025-03-03 22:54:00,A,5185
338,615,2025-02-18 06:09:00,A,5245
339,617,2024-11-10 22:29:00,A,5071
340,621,2025-03-27 20:50:00,A,5234
341,622,2026-10-04 18:52:00,A,5525
342,623,2024-06-13 10:25:00,A,5515
343,626,2025-07-03 19:17:00,A,5311
344,627,2024-11-15 05:03:00,A,5344
345,629,2022-11-27 19:07:00,A,5600
346,630,2022-06-21 22:28:00,A,5566
347,633,2026-12-26 11:54:00,B,5097
348,634,2023-10-15 03:53:00,A,5394
349,635,2026-05-20 07:53:00,A,5358
350,636,2022-10-26 02:59:00,B,5031
351,637,2022-02-27 00:15:00,A,5120
352,638,2023-05-11 04:02:00,A,5588
353,642,2024-03-22 17:16:00,A,5300
354,643,2023-10-30 14:22:00,A,5512
355,644,2024-11-18 01:25:00,A,5527
356,645,2025-07-16 13:16:00,A,5119
357,646,2022-10-06 08:25:00,A,5548
358,647,2023-05-05 09:00:00,A,5186
359,649,2023-02-22 15:39:00,A,5424
360,650,2025-05-18 06:12:00,A,5018
361,651,2026-06-30 03:28:00,A,5125
362,653,2026-07-21 05:44:00,A,5114
363,654,2023-02-19 06:29:00,A,5213
364,656,2024-08-16 07:28:00,A,5376
365,657,2025-02-02 09:51:00,A,5423
366,658,2024-07-28 18:20:00,C,5445
367,659,2022-12-13 02:40:00,A,5075
368,660,2023-02-03 03:46:00,A,5176
369,661,2025-12-04 20:49:00,C,5160
370,662,2025-01-08 15:40:00,A,5221
371,664,2023-02-25 10:21:00,B,5269
372,665,2024-12-06 08:01:00,A,5031
373,667,2026-08-28 08:47:00,C,5422
374,668,2025-11-07 12:46:00,A,5525
375,670,2024-04-14 10:47:00,A,5148
376,671,2022-07-12 03:10:00,A,5336
377,679,2023-04-17 23:45:00,A,5467
378,680,2025-07-02 18:51:00,C,5132
379,681,2026-02-19 03:05:00,A,5385
380,683,2023-09-29 20:29:00,B,5300
381,684,2023-02-14 09:48:00,A,5590
382,685,2025-12-22 15:51:00,A,5119
383,686,2025-10-15 10:14:00,A,5023
384,687,2023-05-15 19:12:00,A,5263
385,690,2025-06-08 21:43:00,C,5498
386,691,2023-01-03 04:39:00,A,5551
387,692,2024-09-24 15:20:00,A,5365
388,695,2023-08-27 03:03:00,A,5090
389,699,2025-08-21 20:25:00,A,5226
390,700,2026-04-01 13:45:00,A,5302
391,702,2023-11-17 14:32:00,A,5300
392,703,2025-10-31 16:08:00,A,5133
393,704,2025-08-24 14:52:00,B,5227
394,707,2025-03-06 17:38:00,A,5101
395,712,2025-05-10 23:38:00,B,5256
396,714,2025-05-22 08:42:00,A,5527
397,715,2025-06-17 21:54:00,A,5449
398,716,2022-08-19 13:34:00,A,5398
399,721,2023-05-01 06:10:00,A,5419
400,723,2025-03-11 03:38:00,A,5496
401,725,2024-08-24 09:13:00,A,5145
402,728,2024-06-08 02:06:00,A,5385
403,730,2022-04-26 04:18:00,A,5051
404,732,2023-03-01 05:27:00,A,5138
405,733,2025-08-16 07:40:00,A,5206
406,736,2024-03-12 09:39:00,A,5155
407,737,2025-03-05 05:03:00,A,5115
408,739,2022-12-21 06:34:00,A,5486
409,742,2023-02-09 21:29:00,A,5060
410,744,2025-10-16 09:59:00,B,5392
411,745,2026-08-05 02:09:00,A,5349
412,747,2025-02-01 18:51:00,B,5419
413,748,2026-02-21 22:57:00,A,5327
414,752,2024-10-25 08:23:00,A,5210
415,755,2022-10-02 14:53:00,A,5582
416,758,2026-02-15 19:48:00,A,5275
417,761,2026-06-22 10:44:00,A,5075
418,763,2025-09-25 00:18:00,A,5112
419,764,2026-12-25 11:54:00,C,5444
420,765,2025-04-26 07:27:00,A,5428
421,766,2026-11-03 22:24:00,A,5128
422,768,2024-08-29 07:54:00,A,5354
423,769,2025-10-04 09:19:00,A,5500
424,771,2023-12-22 18:10:00,A,5419
425,772,2023-03-11 13:20:00,A,5572
426,774,2024-05-10 02:43:00,B,5221
427,775,2026-01-15 02:18:00,C,5379
428,778,2026-10-14 08:09:00,A,5401
429,780,2024-06-02 06:55:00,C,5524
430,782,2024-02-28 04:17:00,A,5312
431,785,2025-09-06 21:32:00,A,5188
432,789,2023-12-16 05:52:00,A,5342
433,790,2026-10-18 05:16:00,A,5020
434,792,2024-05-22 05:20:00,C,5283
435,793,2024-06-16 16:43:00,A,5330
436,795,2025-07-27 17:50:00,A,5489
437,796,2025-05-19 13:21:00,A,5301
438,797,2023-01-27 02:28:00,C,5417
439,798,2025-10-12 22:55:00,A,5049
440,799,2025-03-12 18:56:00,A,5133
441,801,2025-12-22 15:26:00,A,5011
442,807,2025-01-24 18:30:00,A,5113
443,808,2024-01-15 08:10:00,A,5178
444,810,2025-05-13 10:03:00,A,5405
445,811,2023-01-17 00:55:00,A,5127
446,812,2026-06-29 16:14:00,A,5482
447,814,2024-02-01 08:09:00,A,5003
448,815,2026-05-17 06:24:00,A,5321
449,818,2024-08-17 05:24:00,A,5563
450,819,2023-06-19 12:20:00,B,5579
451,823,2022-06-22 08:31:00,A,5404
452,824,2023-11-08 08:28:00,A,5486
453,825,2026-04-29 20:44:00,A,5114
454,827,2023-11-06 12:29:00,A,5340
455,828,2025-06-13 00:05:00,A,5362
456,830,2023-02-05 12:06:00,C,5127
457,831,2025-07-24 02:45:00,A,5002
458,832,2025-09-16 09:15:00,A,5006
459,834,2022-05-29 13:33:00,A,5448
460,839,2026-07-13 16:04:00,A,5286
461,840,2022-10-01 23:01:00,B,5251
462,843,2023-04-13 08:03:00,C,5582
463,844,2024-04-29 11:40:00,A,5489
464,845,2023-02-07 15:06:00,A,5012
465,847,2025-06-30 03:19:00,A,5028
466,849,2024-12-24 20:51:00,A,5399
467,850,2022-09-09 11:32:00,A,5332
468,851,2024-05-01 01:17:00,C,5558
469,853,2024-04-19 16:57:00,A,5235
470,854,2026-03-28 02:48:00,A,5216
471,855,2023-12-07 21:26:00,A,5078
472,856,2023-09-18 20:17:00,C,5285
473,857,2024-03-05 17:04:00,A,5373
474,858,2023-10-16 19:30:00,B,5581
475,859,2025-11-16 10:44:00,A,5031
476,860,2024-05-21 18:36:00,A,5288
477,861,2025-03-11 17:32:00,A,5578
478,862,2025-07-27 18:26:00,A,5467
479,864,2023-05-27 12:42:00,A,5433
480,865,2025-11-08 18:18:00,A,5108
481,866,2026-01-17 04:51:00,A,5116
482,872,2022-11-17 17:10:00,A,5419
483,876,2025-10-18 16:28:00,A,5420
484,877,2023-07-04 01:36:00,A,5381
485,878,2024-05-13 01:35:00,A,5067
486,880,2023-03-02 08:16:00,A,5070
487,881,2023-07-01 15:42:00,A,5259
488,882,2022-11-29 15:37:00,A,5491
489,883,2025-09-08 09:51:00,A,5253
490,885,2025-11-06 13:28:00,A,5023
491,886,2024-10-25 04:07:00,B,5209
492,887,2024-06-18 08:50:00,A,5452
493,888,2023-04-03 12:59:00,A,5079
494,891,2026-06-24 14:33:00,A,5188
495,894,2026-10-02 23:06:00,A,5272
496,896,2022-07-15 05:03:00,A,5576
497,898,2023-05-26 05:39:00,A,5300
498,899,2027-01-07 21:42:00,A,5326
499,900,2024-09-01 06:16:00,C,5455
500,901,2022-09-10 05:43:00,A,5112
501,902,2026-01-03 22:46:00,A,5145
502,906,2023-10-23 01:15:00,A,5204
503,909,2026-07-11 06:26:00,A,5562
504,910,2023-03-12 10:13:00,A,5083
505,911,2023-03-24 21:24:00,A,5087
506,912,2023-05-28 00:13:00,A,5036
507,913,2025-07-14 20:01:00,A,5155
508,919,2023-10-19 20:04:00,A,5069
509,920,2022-09-11 05:30:00,A,5274
510,921,2022-12-28 03:02:00,A,5009
511,922,2026-01-29 20:26:00,A,5288
512,923,2023-11-12 13:01:00,B,5462
513,925,2026-08-12 19:07:00,B,5163
514,927,2026-04-30 07:36:00,A,5099
515,928,2026-11-18 20:55:00,A,5354
516,929,2026-09-19 12:58:00,A,5133
517,930,2024-10-06 03:12:00,A,5581
518,931,2024-05-11 01:02:00,A,5561
519,932,2025-05-09 07:21:00,A,5496
520,933,2023-05-01 17:45:00,A,5599
521,934,2022-10-31 03:18:00,A,5160
522,935,2026-05-25 13:39:00,A,5435
523,936,2025-09-03 08:26:00,A,5425
524,937,2025-08-21 18:42:00,A,5063
525,938,2023-12-23 06:37:00,A,5462
526,939,2025-06-18 09:05:00,A,5566
527,941,2023-07-19 10:24:00,A,5346
528,945,2023-07-22 08:39:00,A,5094
529,946,2022-10-09 16:28:00,A,5039
530,947,2026-04-02 01:07:00,A,5372
531,950,2025-04-06 04:00:00,A,5259
532,951,2025-03-26 17:39:00,B,5297
533,952,2023-02-08 04:02:00,A,5089
534,956,2024-05-07 18:24:00,A,5589
535,958,2026-02-18 22:03:00,A,5565
536,960,2025-03-02 06:12:00,A,5483
537,961,2022-08-17 22:54:00,A,5111
538,962,2023-05-01 07:23:00,A,5081
539,964,2024-09-28 20:33:00,B,5330
540,965,2024-09-10 02:20:00,A,5179
541,966,2026-10-21 04:31:00,A,5249
542,967,2023-02-19 06:16:00,A,5062
543,968,2024-02-24 16:34:00,A,5415
544,969,2024-03-26 23:06:00,A,5233
545,971,2025-02-06 04:13:00,A,5054
546,972,2026-04-04 07:41:00,A,5345
547,974,2023-09-11 12:53:00,A,5587
548,975,2024-12-29 08:29:00,A,5281
549,976,2023-09-26 16:21:00,A,5555
550,978,2025-11-21 09:19:00,A,5308
551,980,2022-12-29 18:32:00,A,5417
552,981,2026-07-11 15:39:00,A,5297
553,983,2026-03-12 06:05:00,A,5598
554,984,2023-02-03 08:19:00,A,5317
555,986,2025-03-06 12:23:00,A,5163
556,988,2024-01-06 08:04:00,A,5350
557,989,2023-12-31 12:46:00,A,5084
558,990,2023-02-04 21:35:00,A,5312
559,991,2025-02-16 20:21:00,A,5319
560,993,2025-05-31 08:09:00,A,5186
561,994,2025-06-06 08:39:00,B,5257
562,995,2024-10-29 13:13:00,C,5122
563,996,2025-12-08 13:43:00,A,5456
564,998,2023-04-22 01:13:00,B,5009
565,999,2024-11-30 02:44:00,B,5543
566,1002,2026-01-10 21:28:00,A,5105
567,1003,2025-04-29 06:08:00,A,5343
568,1005,2026-02-05 11:07:00,A,5550
569,1006,2025-08-15 19:29:00,A,5498
570,1007,2025-03-07 04:44:00,B,5346
571,1010,2026-07-26 11:05:00,A,5462
572,1011,2025-02-08 23:38:00,A,5336
573,1012,2024-09-29 07:12:00,A,5093
574,1015,2024-09-11 17:39:00,B,5567
575,1017,2024-07-06 04:12:00,A,5500
576,1019,2024-03-26 00:03:00,A,5206
577,1020,2022-10-05 03:47:00,A,5204
578,1022,2023-07-18 18:57:00,A,5144
579,1024,2024-05-16 19:07:00,A,5235
580,1025,2023-08-30 03:01:00,C,5546
581,1026,2026-04-22 08:13:00,A,5333
582,1027,2023-06-02 22:47:00,A,5345
583,1032,2025-04-29 22:27:00,A,5285
584,1033,2024-08-19 09:09:00,C,5259
585,1034,2025-02-06 23:14:00,B,5304
586,1035,2026-10-21 11:06:00,A,5527
587,1041,2022-07-26 21:34:00,A,5342
588,1043,2026-05-16 00:23:00,A,5138
589,1044,2023-12-24 00:58:00,A,5423
590,1045,2024-10-07 19:08:00,A,5520
591,1051,2024-07-12 12:31:00,B,5452
592,1052,2026-08-11 05:19:00,A,5374
593,1053,2024-05-24 03:33:00,A,5256
594,1054,2024-04-11 02:23:00,A,5300
595,1056,2025-10-26 22:19:00,A,5276
596,1057,2027-01-08 23:52:00,C,5385
597,1060,2022-11-26 06:26:00,A,5191
598,1061,2025-05-12 14:18:00,A,5011
599,1064,2026-10-15 23:52:00,B,5358
600,1066,2025-11-29 06:43:00,A,5202
601,1067,2024-03-22 14:51:00,A,5330
602,1068,2024-07-12 04:11:00,A,5278
603,1071,2024-08-13 21:22:00,A,5300
604,1075,2026-04-11 19:49:00,A,5094
605,1076,2023-02-26 01:01:00,A,5479
606,1079,2025-10-17 08:30:00,A,5581
607,1086,2023-05-10 18:18:00,A,5230
608,1087,2022-06-25 01:15:00,A,5218
609,1088,2024-08-25 06:34:00,B,5156
610,1090,2022-07-28 09:19:00,B,5146
611,1091,2022-05-22 16:56:00,A,5324
612,1094,2024-05-01 00:52:00,A,5031
613,1095,2024-09-12 22:22:00,A,5184
614,1104,2025-07-12 22:54:00,A,5445
615,1105,2022-11-20 20:01:00,B,5217
616,1109,2026-05-23 09:18:00,A,5143
617,1110,2023-11-01 05:22:00,A,5257
618,1111,2024-10-15 04:19:00,A,5222
619,1112,2023-06-18 05:47:00,A,5299
620,1115,2022-06-11 16:26:00,A,5300
621,1116,2024-01-01 11:27:00,B,5291
622,1117,2022-10-09 03:16:00,A,5371
623,1118,2026-08-02 23:20:00,A,5259
624,1120,2023-06-27 20:34:00,A,5477
625,1121,2026-08-23 21:13:00,A,5574
626,1122,2023-08-04 12:30:00,A,5197
627,1125,2023-07-21 15:16:00,A,5234
628,1128,2023-08-28 08:18:00,A,5073
629,1129,2023-05-13 13:23:00,A,5111
630,1130,2023-09-03 08:18:00,A,5553
