ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
138,229,1,2022-07-22,1,14,1134,5031,7014,350,1,0
139,232,1,2025-03-21,1,3,1025,5591,7003,356,1,0
140,232,1,2025-02-10,1,3,1025,5591,7003,355,1,0
141,233,1,2023-11-29,1,5,1050,5125,7005,359,1,0
142,234,1,2025-12-10,1,15,1144,5409,7015,360,1,0
143,236,1,2026-06-24,1,5,1050,5450,7005,362,1,0
144,237,1,2023-09-06,1,5,1046,5224,7005,363,1,0
145,238,1,2022-03-08,1,30,1292,5066,7030,366,1,0
146,241,1,2022-04-22,1,1,1002,5434,7001,371,1,0
147,244,1,2023-12-25,1,22,1212,5204,7022,376,1,0
148,245,1,2022-08-15,1,27,1267,5257,7027,377,1,0
149,246,2,2023-09-28,1,9,1082,5515,7009,378,1,0
150,247,2,2023-02-22,1,5,1045,5419,7005,379,1,0
151,250,1,2024-11-11,1,31,1309,5583,7031,383,1,0
152,251,2,2023-06-20,1,9,1083,5185,7009,384,1,0
153,252,1,2022-06-23,1,17,1168,5133,7017,386,1,0
154,255,1,2024-05-22,1,1,1007,5465,7001,392,1,0
155,257,1,2025-04-21,1,10,1098,5356,7010,394,1,0
156,259,1,2023-04-09,1,8,1071,5013,7008,396,1,0
157,261,2,2023-02-05,1,2,1016,5565,7002,399,1,0
158,262,1,2025-11-17,1,4,1040,5424,7004,400,1,0
159,264,1,2025-03-03,1,26,1260,5081,7026,402,1,0
160,266,2,2023-01-18,1,4,1037,5416,7004,406,1,0
161,267,1,2022-10-20,1,6,1057,5129,7006,407,1,0
162,268,2,2025-08-23,1,17,1168,5133,7017,409,1,0
163,271,2,2023-10-16,1,10,1096,5409,7010,413,1,0
164,272,2,2022-05-09,1,19,1186,5486,7019,414,1,0
165,274,2,2026-03-15,1,11,1107,5503,7011,419,1,0
166,275,1,2024-10-24,1,12,1113,5083,7012,423,1,0
167,276,1,2023-04-20,1,7,1065,5344,7007,424,1,0
168,280,1,2025-11-28,1,5,1049,5582,7005,432,1,0
169,280,2,2025-10-29,1,5,1049,5582,7005,433,1,0
170,282,1,2024-02-12,1,17,1166,5342,7017,436,1,0
171,283,1,2024-08-04,1,10,1093,5327,7010,437,1,0
172,286,1,2022-11-24,1,31,1303,5085,7031,441,1,0
173,287,2,2024-07-31,1,4,1039,5438,7004,444,1,0
174,288,1,2024-07-28,1,30,1293,5455,7030,446,1,0
175,292,1,2025-03-11,1,22,1212,5291,7022,453,1,0
176,292,1,2024-12-18,1,22,1212,5291,7022,452,1,0
177,297,2,2024-06-10,1,2,1014,5275,7002,460,1,0
178,298,2,2025-04-21,1,3,1025,5591,7003,463,1,0
179,303,2,2025-09-29,1,29,1290,5059,7029,473,1,0
180,303,1,2025-10-25,1,29,1290,5059,7029,472,1,0
181,305,1,2025-10-16,1,27,1262,5444,7027,476,1,0
182,306,1,2022-12-01,1,26,1252,5330,7026,479,1,0
183,306,1,2023-03-07,1,26,1252,5330,7026,477,1,0
184,309,1,2025-05-13,1,15,1147,5160,7015,482,1,0
185,311,2,2023-04-15,1,5,1043,5259,7005,486,1,0
186,311,2,2023-03-13,1,5,1043,5259,7005,485,1,0
187,312,1,2024-08-31,1,5,1049,5561,7005,487,1,0
188,314,1,2023-10-29,1,25,1241,5513,7025,491,1,0
189,314,2,2023-10-16,1,25,1241,5513,7025,493,1,0
190,315,1,2023-08-16,1,23,1224,5240,7023,494,1,0
191,319,1,2024-10-04,1,26,1253,5411,7026,500,1,0
192,320,1,2022-11-10,1,2,1018,5329,7002,502,1,0
193,323,1,2025-06-07,1,27,1263,5210,7027,506,1,0
194,324,2,2024-04-15,1,13,1124,5245,7013,507,1,0
195,327,2,2024-11-10,1,25,1247,5165,7025,513,1,0
196,328,1,2025-10-26,1,3,1023,5127,7003,514,1,0
197,328,1,2025-10-06,1,3,1023,5127,7003,515,1,0
198,329,1,2022-09-15,1,25,1241,5513,7025,517,1,0
199,333,1,2022-02-04,1,18,1174,5209,7018,521,1,0
200,337,1,2025-11-15,1,3,1021,5374,7003,525,1,0
201,339,1,2024-09-24,1,5,1047,5186,7005,528,1,0
202,340,1,2024-05-22,1,6,1057,5129,7006,530,1,0
203,345,1,2025-04-22,1,17,1165,5218,7017,536,1,0
204,348,1,2025-08-30,1,8,1078,5347,7008,540,1,0
205,349,1,2024-04-03,1,5,1044,5592,7005,541,1,0
206,350,1,2024-08-04,1,6,1053,5465,7006,542,1,0
207,351,1,2025-02-08,1,5,1043,5259,7005,543,1,0
208,352,1,2023-07-16,1,8,1077,5003,7008,547,1,0
209,353,1,2025-06-15,1,5,1041,5094,7005,548,1,0
210,355,2,2024-08-01,1,24,1234,5328,7024,550,1,0
211,356,2,2023-04-14,1,26,1253,5411,7026,551,1,0
212,357,1,2025-10-13,1,1,1006,5588,7001,552,1,0
213,358,1,2023-07-28,1,14,1136,5337,7014,553,1,0
214,362,1,2022-08-15,1,3,1027,5299,7003,560,1,0
215,363,1,2024-04-05,1,17,1170,5285,7017,561,1,0
216,364,1,2023-07-19,1,9,1090,5101,7009,563,1,0
217,365,2,2022-03-08,1,3,1030,5071,7003,564,1,0
218,367,1,2025-02-17,1,24,1238,5072,7024,566,1,0
219,368,1,2022-04-27,1,5,1041,5077,7005,567,1,0
220,370,1,2022-04-24,1,5,1041,5077,7005,569,1,0
221,371,1,2024-03-03,1,6,1059,5025,7006,571,1,0
222,374,2,2022-02-28,1,20,1191,5420,7020,576,1,0
223,376,1,2023-05-04,1,5,1042,5300,7005,579,1,0
224,379,1,2026-09-21,1,5,1041,5077,7005,584,1,0
225,379,1,2026-08-02,1,5,1041,5077,7005,585,1,0
226,383,1,2025-06-04,1,7,1070,5130,7007,592,1,0
227,386,2,2026-03-24,1,5,1044,5121,7005,595,1,0
228,387,1,2024-06-03,1,20,1199,5084,7020,596,1,0
229,390,1,2022-07-09,1,5,1044,5260,7005,600,1,0
230,391,1,2024-04-02,1,20,1194,5372,7020,601,1,0
231,392,2,2023-07-10,1,22,1219,5054,7022,604,1,0
232,392,2,2023-07-04,1,22,1219,5054,7022,602,1,0
233,393,2,2026-05-15,1,8,1076,5471,7008,605,1,0
234,394,2,2024-12-18,1,6,1053,5133,7006,606,1,0
235,395,2,2023-11-09,1,5,1047,5600,7005,607,1,0
236,396,1,2022-10-07,1,11,1109,5341,7011,609,1,0
237,396,1,2022-08-28,1,11,1109,5341,7011,608,1,0
238,401,2,2025-02-17,1,3,1030,5041,7003,616,1,0
239,402,1,2025-10-16,1,3,1029,5543,7003,618,1,0
240,403,1,2025-01-22,1,25,1241,5513,7025,621,1,0
241,406,1,2024-06-17,1,9,1088,5545,7009,628,1,0
242,409,1,2026-03-24,1,5,1045,5419,7005,632,1,0
243,410,1,2022-09-03,1,25,1248,5229,7025,634,1,0
244,414,1,2024-09-21,1,30,1293,5455,7030,639,1,0
245,417,2,2025-06-05,1,5,1044,5561,7005,644,1,0
246,418,1,2025-03-08,1,3,1025,5591,7003,645,1,0
247,419,1,2023-08-09,1,25,1249,5280,7025,646,1,0
248,421,1,2022-10-08,1,5,1045,5419,7005,648,1,0
249,422,2,2022-04-11,1,14,1131,5048,7014,649,1,0
250,423,1,2025-12-19,1,29,1282,5321,7029,650,1,0
251,424,1,2026-08-10,1,5,1047,5527,7005,652,1,0
252,424,2,2026-07-06,1,5,1047,5527,7005,651,1,0
253,426,2,2025-05-29,1,5,1046,5031,7005,654,1,0
254,427,1,2023-01-25,1,1,1006,5509,7001,655,1,0
255,428,1,2024-05-15,1,29,1288,5236,7029,656,1,0
256,429,1,2022-02-24,1,20,1199,5084,7020,657,1,0
257,431,1,2022-02-19,1,7,1062,5151,7007,659,1,0
258,432,2,2025-11-20,1,21,1207,5064,7021,660,1,0
259,434,2,2025-05-25,1,5,1045,5419,7005,663,1,0
260,437,1,2024-10-09,1,7,1064,5380,7007,669,1,0
261,438,2,2024-01-13,1,31,1309,5583,7031,670,1,0
262,439,1,2025-04-26,1,1,1003,5516,7001,671,1,0
263,440,2,2024-09-29,1,26,1260,5237,7026,673,1,0
264,441,1,2025-07-30,1,5,1042,5300,7005,674,1,0
265,442,1,2024-05-27,1,6,1053,5422,7006,676,1,0
266,446,2,2025-12-04,1,21,1208,5396,7021,680,1,0
267,451,1,2023-11-18,1,9,1082,5515,7009,685,1,0
268,453,1,2024-01-24,1,23,1230,5499,7023,687,1,0
269,454,1,2024-06-05,1,7,1063,5009,7007,689,1,0
270,455,1,2022-01-26,1,26,1259,5541,7026,691,1,0
271,456,1,2026-08-01,1,8,1075,5154,7008,692,1,0
272,457,1,2024-08-21,1,13,1124,5245,7013,693,1,0
273,458,1,2025-11-19,1,26,1259,5541,7026,694,1,0
274,461,2,2023-11-12,1,28,1274,5487,7028,699,1,0
275,463,2,2023-10-11,1,14,1135,5230,7014,701,1,0
276,464,1,2025-02-14,1,11,1104,5488,7011,702,1,0
277,468,1,2025-09-30,1,19,1185,5378,7019,710,1,0
278,470,1,2022-04-24,1,4,1034,5140,7004,712,1,0
279,471,2,2025-07-19,1,5,1047,5527,7005,714,1,0
280,472,1,2025-01-12,1,15,1148,5566,7015,718,1,0
281,473,1,2026-06-07,1,13,1123,5087,7013,721,1,0
282,478,1,2025-03-04,1,16,1160,5501,7016,731,1,0
283,480,2,2022-11-07,1,17,1170,5285,7017,736,1,0
284,481,2,2024-05-08,1,22,1220,5194,7022,740,1,0
285,483,1,2025-09-25,1,19,1184,5479,7019,747,1,0
286,484,1,2023-03-17,1,18,1173,5219,7018,748,1,0
287,487,1,2026-04-22,1,10,1096,5409,7010,754,1,0
288,488,1,2025-06-13,1,12,1119,5198,7012,759,1,0
289,488,1,2025-06-26,1,12,1119,5198,7012,758,1,0
290,491,1,2025-01-17,1,21,1202,5421,7021,762,1,0
291,493,2,2025-11-11,1,30,1294,5120,7030,765,1,0
292,494,1,2026-09-09,1,25,1241,5132,7025,766,1,0
293,495,1,2022-12-06,1,4,1034,5260,7004,767,1,0
294,500,1,2022-10-01,1,21,1208,5176,7021,773,1,0
295,505,1,2026-10-21,1,29,1283,5534,7029,780,1,0
296,507,1,2025-09-15,1,17,1163,5473,7017,782,1,0
297,508,1,2024-11-12,1,3,1030,5459,7003,784,1,0
298,513,2,2026-04-30,1,10,1092,5180,7010,790,1,0
299,515,1,2024-10-09,1,5,1049,5582,7005,792,1,0
300,517,1,2023-12-30,1,18,1174,5209,7018,794,1,0
301,518,1,2025-01-06,1,1,1010,5588,7001,795,1,0
302,519,1,2025-05-22,1,21,1204,5201,7021,796,1,0
303,522,1,2023-04-05,1,7,1070,5130,7007,801,1,0
304,524,1,2023-09-29,1,6,1054,5576,7006,804,1,0
305,526,2,2022-12-14,1,10,1097,5171,7010,811,1,0
306,526,1,2023-01-11,1,10,1097,5171,7010,809,1,0
307,527,1,2024-04-22,1,5,1043,5343,7005,812,1,0
308,534,2,2022-06-08,1,13,1128,5472,7013,820,1,0
309,535,2,2026-10-06,1,3,1023,5127,7003,821,1,0
310,538,1,2024-05-24,1,11,1104,5141,7011,828,1,0
311,538,1,2024-04-17,1,11,1104,5141,7011,827,1,0
312,539,1,2024-06-15,1,13,1121,5358,7013,830,1,0
313,542,1,2024-06-14,1,30,1294,5252,7030,838,1,0
314,543,1,2026-08-31,1,25,1250,5502,7025,839,1,0
315,546,1,2023-06-11,1,16,1151,5189,7016,845,1,0
316,547,1,2026-04-21,1,9,1083,5149,7009,846,1,0
317,548,2,2022-05-09,1,13,1122,5153,7013,847,1,0
318,549,1,2026-03-19,1,24,1232,5352,7024,848,1,0
319,551,2,2023-06-05,1,5,1047,5600,7005,851,1,0
320,553,1,2026-04-11,1,30,1294,5252,7030,854,1,0
321,555,2,2026-05-11,1,5,1049,5561,7005,857,1,0
322,555,1,2026-05-14,1,5,1049,5561,7005,858,1,0
323,556,1,2023-03-17,1,3,1029,5336,7003,859,1,0
324,557,1,2023-09-22,1,16,1155,5178,7016,860,1,0
325,558,2,2025-12-05,1,31,1303,5085,7031,861,1,0
326,562,2,2026-01-24,1,26,1259,5541,7026,865,1,0
327,568,1,2024-03-14,1,4,1036,5485,7004,874,1,0
328,569,2,2024-02-25,1,1,1003,5570,7001,875,1,0
329,578,1,2026-09-17,1,6,1057,5129,7006,891,1,0
330,582,1,2026-06-26,1,13,1121,5358,7013,896,1,0
331,583,1,2023-08-10,1,17,1161,5119,7017,897,1,0
332,583,2,2023-07-23,1,17,1161,5119,7017,898,1,0
333,586,2,2026-09-02,1,5,1043,5343,7005,902,1,0
334,588,1,2026-07-27,1,27,1262,5444,7027,904,1,0
335,589,2,2024-06-15,1,9,1088,5443,7009,905,1,0
336,589,2,2024-05-03,1,9,1088,5443,7009,906,1,0
337,593,1,2024-09-05,1,25,1242,5406,7025,912,1,0
338,593,1,2024-07-25,1,25,1242,5406,7025,913,1,0
339,596,1,2022-09-10,1,30,1294,5252,7030,916,1,0
340,597,1,2026-05-24,1,5,1044,5399,7005,919,1,0
341,597,1,2026-08-09,1,5,1044,5399,7005,918,1,0
342,600,1,2022-10-23,1,1,1006,5308,7001,923,1,0
343,601,2,2023-11-19,1,12,1119,5387,7012,924,1,0
344,604,2,2026-01-13,1,3,1028,5402,7003,932,1,0
345,605,1,2025-11-27,1,30,1295,5180,7030,935,1,0
346,610,1,2023-08-26,1,19,1183,5093,7019,941,1,0
347,612,1,2023-01-25,1,17,1170,5285,7017,943,1,0
348,612,1,2023-02-02,1,17,1170,5285,7017,944,1,0
349,613,1,2025-02-16,1,9,1083,5185,7009,945,1,0
350,615,1,2024-11-28,1,13,1124,5245,7013,950,1,0
351,617,1,2024-08-30,1,3,1030,5071,7003,954,1,0
352,620,1,2024-02-25,1,26,1252,5330,7026,960,1,0
353,620,2,2024-04-24,1,26,1252,5330,7026,959,1,0
354,622,1,2026-07-04,1,4,1035,5525,7004,963,1,0
355,626,2,2025-01-30,1,5,1041,5311,7005,970,1,0
356,627,1,2024-12-18,1,7,1065,5344,7007,972,1,0
357,629,1,2023-01-02,1,5,1047,5600,7005,975,1,0
358,631,2,2022-10-29,1,28,1276,5196,7028,979,1,0
359,634,1,2024-01-01,1,17,1163,5394,7017,983,1,0
360,636,1,2022-05-15,1,14,1134,5031,7014,987,1,0
361,637,1,2022-02-06,1,30,1294,5120,7030,989,1,0
362,640,1,2023-05-21,1,2,1017,5467,7002,997,1,0
363,643,1,2023-07-18,1,4,1031,5512,7004,1000,1,0
364,644,1,2024-09-17,1,5,1047,5527,7005,1001,1,0
365,647,1,2023-02-27,1,5,1047,5186,7005,1004,1,0
366,648,1,2025-07-09,1,23,1228,5244,7023,1006,1,0
367,650,1,2025-02-26,1,13,1129,5018,7013,1008,1,0
368,651,1,2026-05-19,1,5,1050,5125,7005,1009,1,0
369,654,1,2022-11-26,1,16,1158,5213,7016,1015,1,0
370,656,1,2024-06-10,1,28,1275,5376,7028,1020,1,0
371,658,2,2024-05-13,1,14,1137,5445,7014,1025,1,0
372,662,1,2024-10-24,1,13,1130,5221,7013,1032,1,0
373,662,1,2024-09-09,1,13,1130,5221,7013,1031,1,0
374,665,1,2024-11-15,1,14,1134,5031,7014,1036,1,0
375,667,1,2026-05-30,1,26,1256,5422,7026,1041,1,0
376,667,1,2026-04-10,1,26,1256,5422,7026,1040,1,0
377,668,1,2025-07-29,1,4,1035,5525,7004,1042,1,0
378,671,1,2022-05-05,1,3,1029,5336,7003,1047,1,0
379,674,1,2022-05-29,1,27,1264,5146,7027,1051,1,0
380,675,1,2025-10-27,1,21,1201,5145,7021,1052,1,0
381,679,1,2023-04-24,1,2,1017,5467,7002,1058,1,0
382,682,1,2022-04-12,1,7,1067,5529,7007,1061,1,0
383,683,2,2023-08-25,1,5,1042,5300,7005,1063,1,0
384,684,2,2022-10-02,1,2,1016,5590,7002,1064,1,0
385,686,2,2025-12-17,1,21,1201,5023,7021,1067,1,0
386,687,2,2023-03-27,1,1,1004,5263,7001,1068,1,0
387,688,1,2026-08-30,1,5,1047,5527,7005,1069,1,0
388,689,1,2025-03-29,1,24,1236,5576,7024,1070,1,0
389,690,1,2025-01-09,1,5,1044,5498,7005,1072,1,0
390,692,2,2024-11-12,1,23,1223,5365,7023,1076,1,0
391,695,1,2023-06-18,1,1,1009,5090,7001,1083,1,0
392,700,1,2026-02-19,1,7,1070,5302,7007,1095,1,0
393,702,1,2023-06-29,1,5,1042,5300,7005,1097,1,0
394,703,1,2025-09-15,1,17,1168,5133,7017,1098,1,0
395,704,1,2025-06-12,1,28,1276,5227,7028,1102,1,0
396,706,2,2022-12-29,1,1,1008,5274,7001,1108,1,0
397,706,1,2022-12-02,1,1,1008,5274,7001,1107,1,0
398,712,1,2025-04-14,1,31,1307,5256,7031,1119,1,0
399,718,2,2025-08-07,1,18,1176,5417,7018,1126,1,0
400,719,1,2023-01-27,1,15,1144,5580,7015,1128,1,0
401,723,1,2025-03-18,1,5,1041,5496,7005,1136,1,0
402,727,2,2026-04-27,1,28,1274,5487,7028,1141,1,0
403,728,1,2024-02-03,1,2,1011,5385,7002,1142,1,0
404,729,1,2025-02-17,1,21,1201,5145,7021,1144,1,0
405,731,1,2022-06-01,1,16,1152,5463,7016,1147,1,0
406,732,1,2022-12-24,1,30,1292,5138,7030,1148,1,0
407,733,1,2025-05-30,1,31,1308,5206,7031,1149,1,0
408,734,1,2025-02-14,1,27,1262,5045,7027,1150,1,0
409,737,1,2024-10-29,1,8,1077,5115,7008,1155,1,0
410,738,1,2024-11-21,1,28,1280,5355,7028,1157,1,0
411,738,1,2025-02-12,1,28,1280,5355,7028,1156,1,0
412,741,2,2022-12-31,1,8,1071,5013,7008,1161,1,0
413,744,2,2025-09-15,1,14,1133,5392,7014,1165,1,0
414,745,2,2026-05-04,1,1,1009,5349,7001,1167,1,0
415,748,2,2025-09-18,1,10,1093,5327,7010,1170,1,0
416,749,2,2024-03-28,1,17,1168,5133,7017,1171,1,0
417,750,2,2022-06-12,1,19,1190,5348,7019,1172,1,0
418,751,1,2025-04-04,1,22,1211,5489,7022,1173,1,0
419,753,1,2026-03-27,1,28,1278,5271,7028,1177,1,0
420,755,1,2022-09-19,1,5,1049,5582,7005,1182,1,0
421,756,1,2023-07-17,1,9,1088,5390,7009,1183,1,0
422,760,2,2024-09-09,1,22,1220,5276,7022,1188,1,0
423,768,1,2024-05-05,1,26,1260,5354,7026,1199,1,0
424,769,1,2025-06-01,1,29,1286,5500,7029,1202,1,0
425,771,2,2023-12-30,1,5,1045,5419,7005,1205,1,0
426,772,1,2023-04-15,1,5,1048,5572,7005,1207,1,0
427,776,1,2023-02-02,1,5,1041,5496,7005,1215,1,0
428,778,1,2026-09-29,1,10,1100,5401,7010,1218,1,0
